id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,out,counterpress,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,shot_statsbomb_xg,shot_end_location,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,dribble_overrun,dribble_outcome_id,dribble_outcome_name,ball_recovery_offensive,clearance_right_foot,pass_technique_id,pass_technique_name,pass_inswinging,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_switch,clearance_left_foot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_offensive,foul_won_defensive,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,clearance_aerial_won,pass_goal_assist,foul_committed_card_id,foul_committed_card_name,pass_through_ball,shot_deflected,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_outswinging,pass_cut_back,block_offensive,block_save_block,pass_straight,miscontrol_aerial_won,shot_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,clearance_other,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
525078b3-e6ae-4f25-8013-a9867024b080,1785,1,00:47:05.206,47,5,119,,42,Ball Receipt*,207,Valencia,2,From Corner,360,Rayo Vallecano,,,['8e8bfeda-5a39-4c78-8ae3-5fc21d244ca8'],,"[52.0, 71.4]",26685.0,Nicolás Ladislao Fedor Flores,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2825.206,3.2660000000000764,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13322418690345617
6168256d-73c2-4a07-be77-ae138ea0238a,1786,1,00:47:05.206,47,5,119,1.784602,30,Pass,207,Valencia,2,From Corner,207,Valencia,,,"['19918c53-3b02-4030-9a5c-e075f8fb7e26', '8e8bfeda-5a39-4c78-8ae3-5fc21d244ca8']",,"[57.6, 19.2]",7005.0,João Pedro Cavaco Cancelo,6.0,Left Back,6663.0,Antonio Barragán Fernández,17.3358,2.1715982,2.0,Low Pass,"[47.8, 33.5]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2825.206,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8281470906893845
19918c53-3b02-4030-9a5c-e075f8fb7e26,1787,1,00:47:06.991,47,6,119,,42,Ball Receipt*,207,Valencia,2,From Corner,207,Valencia,,,['6168256d-73c2-4a07-be77-ae138ea0238a'],,"[47.8, 33.5]",6663.0,Antonio Barragán Fernández,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2826.991,1.7849999999998545,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21741624338529808
f756733a-9e9d-4a06-a644-6b998d7fa872,1788,1,00:47:06.991,47,6,119,1.354811,43,Carry,207,Valencia,2,From Corner,207,Valencia,,,"['0ecfde21-4355-4ba9-96d4-625c59de2fdb', '19918c53-3b02-4030-9a5c-e075f8fb7e26']",,"[47.8, 33.5]",6663.0,Antonio Barragán Fernández,2.0,Right Back,,,,,,,,,,,,,"[47.1, 38.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2826.991,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4179698953550244
0ecfde21-4355-4ba9-96d4-625c59de2fdb,1789,1,00:47:08.346,47,8,119,1.003181,30,Pass,207,Valencia,2,From Corner,207,Valencia,,,['e1df0983-9bf6-4a92-8775-681d7d611112'],,"[47.1, 38.6]",6663.0,Antonio Barragán Fernández,2.0,Right Back,10802.0,André Filipe Tavares Gomes,9.019978,-0.066568166,1.0,Ground Pass,"[56.1, 38.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2828.346,1.3550000000000182,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7706747674041292
e1df0983-9bf6-4a92-8775-681d7d611112,1790,1,00:47:09.349,47,9,119,,42,Ball Receipt*,207,Valencia,2,From Corner,207,Valencia,,,['0ecfde21-4355-4ba9-96d4-625c59de2fdb'],,"[56.1, 38.0]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2829.349,1.0030000000001564,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.42210997559859975
eb3960f9-2c94-40ea-ad5c-0c84ea2a5058,1791,1,00:47:09.349,47,9,119,3.51213,43,Carry,207,Valencia,2,From Corner,207,Valencia,,,"['300317c4-0ca2-42b2-979c-3940caf7ce16', 'e1df0983-9bf6-4a92-8775-681d7d611112']",,"[56.1, 38.0]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,,"[64.7, 53.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2829.349,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07141544818433143
300317c4-0ca2-42b2-979c-3940caf7ce16,1792,1,00:47:12.861,47,12,119,1.26217,30,Pass,207,Valencia,2,From Corner,207,Valencia,,,['51e9d157-f8a5-437e-be0e-c7be49e55a1f'],,"[64.7, 53.8]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,6594.0,Santiago Mina Lorenzo,24.339268,0.82026774,1.0,Ground Pass,"[81.3, 71.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2832.861,3.5119999999997162,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.11318974093058765
51e9d157-f8a5-437e-be0e-c7be49e55a1f,1793,1,00:47:14.123,47,14,119,,42,Ball Receipt*,207,Valencia,2,From Corner,207,Valencia,,,['300317c4-0ca2-42b2-979c-3940caf7ce16'],,"[81.3, 71.6]",6594.0,Santiago Mina Lorenzo,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2834.123,1.262000000000171,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17303699075094436
d5211720-73a4-46e2-bef3-f6083c2422d4,1794,1,00:47:14.123,47,14,119,1.264028,43,Carry,207,Valencia,2,From Corner,207,Valencia,,,"['195650d5-f2ea-4fd6-bb19-5a15ef94fcd6', '51e9d157-f8a5-437e-be0e-c7be49e55a1f']",,"[81.3, 71.6]",6594.0,Santiago Mina Lorenzo,16.0,Left Midfield,,,,,,,,,,,,,"[82.6, 71.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2834.123,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2974566693120432
195650d5-f2ea-4fd6-bb19-5a15ef94fcd6,1795,1,00:47:15.387,47,15,119,1.040585,30,Pass,207,Valencia,2,From Corner,207,Valencia,,,['c26a3584-979d-4b55-a407-c5528d46550a'],,"[82.6, 71.6]",6594.0,Santiago Mina Lorenzo,16.0,Left Midfield,10802.0,André Filipe Tavares Gomes,11.401754,-2.2318394,1.0,Ground Pass,"[75.6, 62.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2835.387,1.2640000000001237,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8380542185807073
c26a3584-979d-4b55-a407-c5528d46550a,1796,1,00:47:16.428,47,16,119,,42,Ball Receipt*,207,Valencia,2,From Corner,207,Valencia,,,['195650d5-f2ea-4fd6-bb19-5a15ef94fcd6'],,"[75.6, 62.6]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2836.428,1.0409999999997126,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5369283175713879
e9fc8a99-f39d-458c-9a95-a18c84804100,1797,1,00:47:16.428,47,16,119,1.599209,43,Carry,207,Valencia,2,From Corner,207,Valencia,,,"['105d4903-0fa3-4951-a4e4-a6b75e5e3be1', 'c26a3584-979d-4b55-a407-c5528d46550a']",,"[75.6, 62.6]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,,"[74.1, 61.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2836.428,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4278355583010808
105d4903-0fa3-4951-a4e4-a6b75e5e3be1,1798,1,00:47:18.027,47,18,119,2.688388,30,Pass,207,Valencia,2,From Corner,207,Valencia,,,['2efa11ec-2927-46ea-befc-466cd712b442'],,"[74.1, 61.8]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,43.322628,-0.89497393,3.0,High Pass,"[101.2, 28.0]",38.0,Left Foot,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2838.027,1.59900000000016,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5509184025518202
