id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,out,ball_recovery_recovery_failure,pass_aerial_won,clearance_left_foot,clearance_right_foot,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,pass_technique_id,pass_technique_name,pass_through_ball,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,pass_switch,block_deflection,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_outswinging,shot_first_time,pass_goal_assist,foul_won_defensive,pass_no_touch,pass_cut_back,foul_won_advantage,dribble_overrun,miscontrol_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,goalkeeper_punched_out,pass_deflected,goalkeeper_lost_out,foul_committed_advantage,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
c05312cc-5868-4119-b4cd-f890b3eddcc2,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,217,Barcelona,1,Regular Play,217,Barcelona,433.0,"[{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6400, 'name': 'Aleix Vidal Parreu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5331011185064309
260f501a-772a-45ac-8bf1-20f01df38a41,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,217,Barcelona,1,Regular Play,215,Athletic Club,4411.0,"[{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.47724021371735703
0aafddff-3907-4ccf-95d1-1813abed78f8,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,217,Barcelona,1,Regular Play,217,Barcelona,,,['a0ea9f06-7fa3-4987-8d48-1d9744d2e924'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7393833958322095
a0ea9f06-7fa3-4987-8d48-1d9744d2e924,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,217,Barcelona,1,Regular Play,215,Athletic Club,,,['0aafddff-3907-4ccf-95d1-1813abed78f8'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5958597954386323
e757072f-52f9-40cc-8baa-ee7b2036bbe9,5,1,00:00:00.080,0,0,2,0.7929,30,Pass,215,Athletic Club,9,From Kick Off,215,Athletic Club,,,['0e62d636-ecac-4c09-8c75-b65949940916'],"[61.0, 40.1]",6606.0,Javier Eraso Goñi,19.0,Center Attacking Midfield,6396.0,Beñat Etxebarria Urkiaga,2.1377559,1.7590178,1.0,Ground Pass,"[60.6, 42.2]",65.0,Kick Off,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.07376897287385853
0e62d636-ecac-4c09-8c75-b65949940916,6,1,00:00:00.872,0,0,2,,42,Ball Receipt*,215,Athletic Club,9,From Kick Off,215,Athletic Club,,,['e757072f-52f9-40cc-8baa-ee7b2036bbe9'],"[60.6, 42.2]",6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.872,0.792,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2084299374442492
37f099f8-8a10-4a1a-acb3-061f2782bcd7,7,1,00:00:00.872,0,0,2,0.1325,43,Carry,215,Athletic Club,9,From Kick Off,215,Athletic Club,,,"['0e62d636-ecac-4c09-8c75-b65949940916', '85f09291-7a5b-41be-93bc-b09b2008064c']","[60.6, 42.2]",6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,,,,,,,,,,,,"[59.9, 43.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.872,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.013960224293736223
85f09291-7a5b-41be-93bc-b09b2008064c,8,1,00:00:01.005,0,1,2,1.72,30,Pass,215,Athletic Club,9,From Kick Off,215,Athletic Club,,,['46389b44-5cf4-4967-a53d-d57abac9dbfa'],"[59.9, 43.0]",6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,4353.0,Aymeric Laporte,25.539186,-2.7392716,1.0,Ground Pass,"[36.4, 33.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005,0.1329999999999999,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9812067804768421
0d6f989a-2855-4eb7-b8e1-a922ebdb8257,9,1,00:00:02.699,0,2,2,0.78149,17,Pressure,215,Athletic Club,9,From Kick Off,217,Barcelona,,,"['46389b44-5cf4-4967-a53d-d57abac9dbfa', '705bfc66-73f4-4e0a-9d50-6c7d574eb120']","[78.1, 48.3]",5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.699,1.694,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.699976456183937
46389b44-5cf4-4967-a53d-d57abac9dbfa,10,1,00:00:02.725,0,2,2,,42,Ball Receipt*,215,Athletic Club,9,From Kick Off,215,Athletic Club,,,"['0d6f989a-2855-4eb7-b8e1-a922ebdb8257', '85f09291-7a5b-41be-93bc-b09b2008064c']","[36.4, 33.0]",4353.0,Aymeric Laporte,5.0,Left Center Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.725,0.026000000000000245,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.46878698007356967
