id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,pass_switch,counterpress,foul_committed_card_id,foul_committed_card_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_right_foot,out,pass_technique_id,pass_technique_name,pass_inswinging,shot_aerial_won,goalkeeper_end_location,duel_outcome_id,duel_outcome_name,pass_cross,pass_outswinging,clearance_aerial_won,block_offensive,pass_deflected,block_deflection,ball_recovery_recovery_failure,foul_won_defensive,clearance_left_foot,shot_first_time,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_advantage,foul_won_advantage,50_50_outcome_id,50_50_outcome_name,pass_cut_back,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_goal_assist,pass_through_ball,shot_one_on_one,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
900bab82-58b6-4a9e-bfa3-7222c899f6a6,1405,1,00:40:16.081,40,16,86,0.0,4,Duel,221,Levante UD,1,Regular Play,221,Levante UD,,,['657a7423-15e0-4c53-ba03-211e5258db7c'],"[59.1, 74.2]",27122.0,Simão Mate,3.0,Right Center Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,11.0,Tackle,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416.081,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9019380080496552
e912fa0a-15cf-4807-adab-99d98e049e82,1406,1,00:40:17.240,40,17,86,0.0,2,Ball Recovery,221,Levante UD,1,Regular Play,221,Levante UD,,,,"[59.1, 74.2]",8801.0,Iván López Mendoza,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2417.24,1.1589999999996508,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12785272520323054
c4f37416-b5bd-49f2-99a5-3f34953d05f4,1407,1,00:40:17.240,40,17,86,1.270912,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['e2f9b24a-10a4-462e-99a4-c37889564045', 'e912fa0a-15cf-4807-adab-99d98e049e82']","[59.1, 74.2]",8801.0,Iván López Mendoza,2.0,Right Back,,,,,,,,,,,,"[51.8, 72.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2417.24,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4042167821391659
e2f9b24a-10a4-462e-99a4-c37889564045,1408,1,00:40:18.511,40,18,86,0.758837,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['771c8a8b-5e3c-4216-84b9-62d4c6ba2221'],"[51.8, 72.0]",8801.0,Iván López Mendoza,2.0,Right Back,23970.0,José María Martín-Bejarano Serrano,8.338465,-0.39386863,1.0,Ground Pass,"[59.5, 68.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.511,1.2710000000001855,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8151978645084601
771c8a8b-5e3c-4216-84b9-62d4c6ba2221,1409,1,00:40:19.270,40,19,86,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['e2f9b24a-10a4-462e-99a4-c37889564045'],"[59.5, 68.8]",23970.0,José María Martín-Bejarano Serrano,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419.27,0.7590000000000146,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8423490923789222
27163070-493d-45b4-b768-8923381ed93d,1410,1,00:40:19.270,40,19,86,3.742243,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['477c1d6e-abc4-4078-9328-60ff4161269e', '771c8a8b-5e3c-4216-84b9-62d4c6ba2221']","[59.5, 68.8]",23970.0,José María Martín-Bejarano Serrano,13.0,Right Center Midfield,,,,,,,,,,,,"[71.5, 67.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419.27,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9744545641619471
477c1d6e-abc4-4078-9328-60ff4161269e,1411,1,00:40:23.012,40,23,86,0.814931,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['36c7e40c-6a3f-4b20-8f11-a0edfcdcb328'],"[71.5, 67.5]",23970.0,José María Martín-Bejarano Serrano,13.0,Right Center Midfield,6659.0,Víctor Camarasa Ferrando,12.608727,-1.1888171,1.0,Ground Pass,"[76.2, 55.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2423.012,3.742000000000189,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.5103149397172344
36c7e40c-6a3f-4b20-8f11-a0edfcdcb328,1412,1,00:40:23.827,40,23,86,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['477c1d6e-abc4-4078-9328-60ff4161269e'],"[76.2, 55.8]",6659.0,Víctor Camarasa Ferrando,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2423.827,0.8150000000000546,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12119874657157237
a6542acd-aa48-4788-a258-58f53a13c88f,1413,1,00:40:23.827,40,23,86,1.071214,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['36c7e40c-6a3f-4b20-8f11-a0edfcdcb328', '55b759a8-03fa-4ff2-b2df-e248865545c6']","[76.2, 55.8]",6659.0,Víctor Camarasa Ferrando,12.0,Right Midfield,,,,,,,,,,,,"[71.9, 52.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2423.827,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.92444810475915
55b759a8-03fa-4ff2-b2df-e248865545c6,1414,1,00:40:24.898,40,24,86,1.392134,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['17837653-1393-4695-810b-dda9d8cbd135'],"[71.9, 52.1]",6659.0,Víctor Camarasa Ferrando,12.0,Right Midfield,5678.0,Jefferson Andrés Lerma Solís,11.148542,-1.9862884,1.0,Ground Pass,"[67.4, 41.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424.898,1.0709999999999127,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3657032074089891
