id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,pass_switch,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_cross,pass_aerial_won,counterpress,out,pass_through_ball,pass_technique_id,pass_technique_name,pass_inswinging,clearance_head,clearance_body_part_id,clearance_body_part_name,off_camera,pass_outswinging,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,foul_won_defensive,dribble_overrun,foul_committed_advantage,foul_won_advantage,clearance_aerial_won,clearance_left_foot,shot_first_time,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,miscontrol_aerial_won,foul_committed_type_id,foul_committed_type_name,ball_recovery_recovery_failure,pass_goal_assist,foul_committed_card_id,foul_committed_card_name,block_deflection,50_50_outcome_id,50_50_outcome_name,pass_cut_back,foul_committed_offensive,shot_saved_to_post,goalkeeper_shot_saved_to_post,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_right_foot,shot_one_on_one,shot_open_goal,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
ab8cd0a8-5be6-41b7-8730-d6f7ef0d6219,555,1,00:11:57.309,11,57,25,2.135528,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['6634ba5b-8cf3-4bda-9301-b1708616c3c4', 'f3a0f269-c3c0-4371-af9d-c312976ae0f1']","[56.6, 72.8]",6865.0,Francisco José Molinero Calderón,2.0,Right Back,,,,,,,,,,,,"[62.9, 76.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.309,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7814529506227859
6634ba5b-8cf3-4bda-9301-b1708616c3c4,556,1,00:11:59.444,11,59,25,1.114297,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['dd77747a-e6a4-4db2-9e98-07fe1690e76d'],"[62.9, 76.8]",6865.0,Francisco José Molinero Calderón,2.0,Right Back,6697.0,Daniel Ceballos Fernández,14.326549,-1.7038091,1.0,Ground Pass,"[61.0, 62.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.444,2.134999999999991,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.820597080422544
1df101bc-0d77-433b-a6b4-1705a4583951,557,1,00:12:00.095,12,0,25,0.322365,17,Pressure,218,Real Betis,3,From Free Kick,212,Atlético Madrid,,,,"[56.0, 20.1]",5487.0,Antoine Griezmann,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.095,0.6510000000000673,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.35922744896570935
dd77747a-e6a4-4db2-9e98-07fe1690e76d,558,1,00:12:00.558,12,0,25,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['6634ba5b-8cf3-4bda-9301-b1708616c3c4'],"[61.0, 62.6]",6697.0,Daniel Ceballos Fernández,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.558,0.46299999999996544,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.26056216535924503
4e0be2d0-1ba9-4b7f-9446-d20d5c5e1423,559,1,00:12:00.558,12,0,25,0.466142,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['94b6ad9f-8eac-40f9-8036-c023e5c7ebd2'],"[61.2, 63.2]",6697.0,Daniel Ceballos Fernández,11.0,Left Defensive Midfield,3601.0,Charly Musonda Junior,6.8658576,0.22024873,1.0,Ground Pass,"[67.9, 64.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.558,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5154162182266159
94b6ad9f-8eac-40f9-8036-c023e5c7ebd2,560,1,00:12:01.025,12,1,25,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['4e0be2d0-1ba9-4b7f-9446-d20d5c5e1423'],"[67.9, 64.7]",3601.0,Charly Musonda Junior,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.025,0.46699999999998454,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9176644076220758
76493c73-e4bf-400d-ae01-f4ccff1e7a2f,561,1,00:12:01.025,12,1,25,2.761506,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['00986915-46fc-4dd7-b4de-7acca47c7cb6', '553e2069-9dba-49ce-b981-e7d426691655', '94b6ad9f-8eac-40f9-8036-c023e5c7ebd2']","[67.9, 64.7]",3601.0,Charly Musonda Junior,17.0,Right Wing,,,,,,,,,,,,"[67.3, 44.4]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.025,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.39968374009977636
553e2069-9dba-49ce-b981-e7d426691655,562,1,00:12:02.178,12,2,25,0.804479,17,Pressure,218,Real Betis,3,From Free Kick,212,Atlético Madrid,,,['76493c73-e4bf-400d-ae01-f4ccff1e7a2f'],"[49.9, 20.4]",19668.0,Augusto Matías Fernández,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.178,1.15300000000002,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.26194406064974574
06344c44-6f39-40a3-8513-117176f613a2,563,1,00:12:03.215,12,3,25,0.544466,17,Pressure,218,Real Betis,3,From Free Kick,212,Atlético Madrid,,,,"[49.0, 34.1]",6384.0,Gabriel Fernández Arenas,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.215,1.0370000000000346,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7244883468426336
00986915-46fc-4dd7-b4de-7acca47c7cb6,564,1,00:12:03.786,12,3,25,2.134173,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['d9d1515f-6185-46e4-b2c7-89bebe84df1f'],"[67.3, 44.4]",3601.0,Charly Musonda Junior,17.0,Right Wing,27349.0,Heiko Westermann,24.555244,-1.9286137,2.0,Low Pass,"[58.7, 21.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.786,0.5709999999999127,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.33695385140631917
