id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,out,clearance_right_foot,block_deflection,pass_switch,interception_outcome_id,interception_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,clearance_aerial_won,clearance_head,off_camera,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,50_50_outcome_id,50_50_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_end_location,dribble_overrun,foul_committed_advantage,foul_won_advantage,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,pass_inswinging,pass_cut_back,dribble_nutmeg,shot_first_time,ball_recovery_recovery_failure,pass_goal_assist,dribble_no_touch,shot_one_on_one,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Own Goal Against,event_type_Own Goal For,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
fd76e8c3-05d2-4f7f-9e41-472f2edce525,1779,2,00:01:18.891,46,18,102,3.041052,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,221,Levante UD,,,"['6a337212-f7c2-4348-963d-87ce841d0126', '7e8c8d7e-e6e2-4dc1-a799-b7c002ea5bda']","[4.3, 37.8]",23843.0,Diego Mariño Villar,1.0,Goalkeeper,25134.0,Deyverson Brum Silva Acosta,50.683033,0.057249624,3.0,High Pass,"[54.9, 40.7]",40.0,Right Foot,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.89099999999999,1.0619999999999834,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.8994441327394087
6a337212-f7c2-4348-963d-87ce841d0126,1780,2,00:01:21.932,46,21,102,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,221,Levante UD,,,['fd76e8c3-05d2-4f7f-9e41-472f2edce525'],"[57.2, 44.2]",25134.0,Deyverson Brum Silva Acosta,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.932,3.041000000000011,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.40923901352038095
7e8c8d7e-e6e2-4dc1-a799-b7c002ea5bda,1781,2,00:01:21.932,46,21,102,0.0,2,Ball Recovery,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['fd76e8c3-05d2-4f7f-9e41-472f2edce525'],"[65.2, 39.4]",5582.0,Celso Borges Mora,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.932,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9985805105853164
cf33a8d4-a767-4453-afbe-077db67dea6b,1782,2,00:01:21.932,46,21,102,0.94112,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['4d1ccf1a-288e-4dcb-874e-501b29379e6c', '7e8c8d7e-e6e2-4dc1-a799-b7c002ea5bda']","[65.2, 39.4]",5582.0,Celso Borges Mora,9.0,Right Defensive Midfield,,,,,,,,,,,,"[66.9, 40.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.932,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.38602848095018627
4d1ccf1a-288e-4dcb-874e-501b29379e6c,1783,2,00:01:22.873,46,22,102,0.592435,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['a487557d-7960-491d-8460-8656cf20fc79'],"[66.9, 40.2]",5582.0,Celso Borges Mora,9.0,Right Defensive Midfield,6733.0,Pedro Mosquera Parada,6.306346,1.827313,2.0,Low Pass,"[65.3, 46.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.873,0.9410000000000025,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.21703056210568838
acc5520c-ce83-4317-b5d8-531658f8c78b,1784,2,00:01:23.378,46,23,102,0.520026,17,Pressure,219,RC Deportivo La Coruña,1,Regular Play,221,Levante UD,,,"['6a2bc42f-7a09-474a-b186-a7c74f7a5e95', 'a487557d-7960-491d-8460-8656cf20fc79', 'fa92e06c-cdc2-419e-8691-c46c69216a41']","[54.2, 35.3]",24149.0,José Antonio García Rabasco,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.378,0.5049999999999955,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.3252930514223261
a487557d-7960-491d-8460-8656cf20fc79,1785,2,00:01:23.465,46,23,102,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['4d1ccf1a-288e-4dcb-874e-501b29379e6c', 'acc5520c-ce83-4317-b5d8-531658f8c78b']","[65.3, 46.3]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.465,0.0870000000000033,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07791240415659106
fa92e06c-cdc2-419e-8691-c46c69216a41,1786,2,00:01:23.465,46,23,102,0.419778,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['6a2bc42f-7a09-474a-b186-a7c74f7a5e95', 'a487557d-7960-491d-8460-8656cf20fc79', 'acc5520c-ce83-4317-b5d8-531658f8c78b']","[65.3, 46.3]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,,,,,,,,,,,,"[65.3, 46.3]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.465,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.16087579291656795
6a2bc42f-7a09-474a-b186-a7c74f7a5e95,1787,2,00:01:23.885,46,23,102,0.732963,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['1327a621-82a9-4cd1-b3bc-c625e5e5b1c1', 'acc5520c-ce83-4317-b5d8-531658f8c78b']","[65.3, 46.3]",6733.0,Pedro Mosquera Parada,11.0,Left Defensive Midfield,5724.0,Fayçal Fajr,12.884487,0.9009038,1.0,Ground Pass,"[73.3, 56.4]",38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.885,0.4200000000000017,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4922483995531147
1327a621-82a9-4cd1-b3bc-c625e5e5b1c1,1788,2,00:01:24.618,46,24,102,,42,Ball Receipt*,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['6a2bc42f-7a09-474a-b186-a7c74f7a5e95'],"[73.3, 56.4]",5724.0,Fayçal Fajr,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.618,0.7329999999999899,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.017750310252071744
