id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_outswinging,pass_technique_id,pass_technique_name,clearance_head,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,duel_type_id,duel_type_name,clearance_aerial_won,foul_won_defensive,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,clearance_left_foot,interception_outcome_id,interception_outcome_name,off_camera,pass_inswinging,clearance_other,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_saved_to_post,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_shot_saved_to_post,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,shot_aerial_won,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,pass_goal_assist,shot_one_on_one,block_deflection,dribble_overrun,pass_cut_back,shot_first_time,pass_through_ball,goalkeeper_punched_out,foul_committed_type_id,foul_committed_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
9ec734ff-d1e6-475c-8b5c-d0a40719cea7,723,1,00:18:32.586,18,32,36,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['f7a86a86-67c5-40a3-9d80-7543954fefb3'],"[67.9, 75.4]",6926.0,Alen Halilović,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.586,0.5150000000001,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1289827221460409
c9deed65-5669-4557-b87b-632935fed080,724,1,00:18:32.586,18,32,36,1.462676,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['20917f53-644b-4e06-8f6d-415a4f56705e', '6253375e-e866-47af-9f73-7e81a2227a32']","[67.9, 75.4]",6926.0,Alen Halilović,24.0,Left Center Forward,6581.0,Jonathan Rodríguez Menéndez,12.8140545,-1.5239556,1.0,Ground Pass,"[68.5, 62.6]",,,38.0,Left Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.586,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.29518247373803874
ac3d419d-d366-4981-b1ad-c5eeaf2ea254,725,1,00:18:33.777,18,33,36,0.330882,17,Pressure,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['20917f53-644b-4e06-8f6d-415a4f56705e'],"[67.2, 65.6]",6581.0,Jonathan Rodríguez Menéndez,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113.777,1.191000000000031,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.5457576700933086
6253375e-e866-47af-9f73-7e81a2227a32,726,1,00:18:34.049,18,34,36,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['c9deed65-5669-4557-b87b-632935fed080'],"[67.2, 64.5]",6581.0,Jonathan Rodríguez Menéndez,12.0,Right Midfield,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114.049,0.2719999999999345,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8550515612303724
20917f53-644b-4e06-8f6d-415a4f56705e,727,1,00:18:34.049,18,34,36,0.0,10,Interception,1041,Sporting Gijón,1,Regular Play,218,Real Betis,,,"['ac3d419d-d366-4981-b1ad-c5eeaf2ea254', 'c9deed65-5669-4557-b87b-632935fed080']","[51.6, 17.5]",5671.0,Alfred John Momar N''Diaye,10.0,Center Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114.049,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8970378670565912
1fde0974-bb8d-4c59-a34c-de8d12a5a73b,728,1,00:18:41.047,18,41,37,1.065497,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['ccd48d48-9ace-4dae-b40d-ecff8c0b7a7e'],"[43.9, 80.0]",26633.0,Alberto Lora Ramos,2.0,Right Back,13107.0,Sergio Álvarez Díaz,15.524175,-1.1878976,2.0,Low Pass,"[49.7, 65.6]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121.047,6.998000000000047,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7049895546097579
ccd48d48-9ace-4dae-b40d-ecff8c0b7a7e,729,1,00:18:42.113,18,42,37,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['1fde0974-bb8d-4c59-a34c-de8d12a5a73b'],"[49.7, 65.6]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.113,1.066000000000031,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.881080189316736
3265ab81-250c-4d31-8b46-a816e9e7101d,730,1,00:18:42.585,18,42,37,0.939549,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['fd950b35-9aea-487a-a3a0-d67aed96db8a'],"[49.9, 65.6]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,26633.0,Alberto Lora Ramos,9.403191,2.1440508,1.0,Ground Pass,"[44.8, 73.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.585,0.47199999999998,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4603163913608762
fd950b35-9aea-487a-a3a0-d67aed96db8a,731,1,00:18:43.524,18,43,37,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['3265ab81-250c-4d31-8b46-a816e9e7101d'],"[44.8, 73.5]",26633.0,Alberto Lora Ramos,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123.524,0.9389999999998508,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5249603233597927
daa0c255-600b-47b8-97c6-9a016ae80036,732,1,00:18:44.257,18,44,37,1.139971,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['1349382e-6867-4f68-9c37-42351bc2368c'],"[44.8, 73.5]",26633.0,Alberto Lora Ramos,2.0,Right Back,13107.0,Sergio Álvarez Díaz,9.750897,-1.1254953,1.0,Ground Pass,"[49.0, 64.7]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.257,0.7330000000001746,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4881929558638114
