id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,interception_outcome_id,interception_outcome_name,counterpress,dribble_outcome_id,dribble_outcome_name,pass_switch,off_camera,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_aerial_won,foul_committed_type_id,foul_committed_type_name,pass_through_ball,pass_technique_id,pass_technique_name,duel_outcome_id,duel_outcome_name,out,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_no_touch,foul_won_defensive,shot_first_time,dribble_overrun,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,foul_committed_advantage,foul_won_advantage,pass_inswinging,miscontrol_aerial_won,ball_recovery_recovery_failure,clearance_left_foot,pass_outswinging,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,block_deflection,bad_behaviour_card_id,bad_behaviour_card_name,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,foul_committed_offensive,dribble_nutmeg,pass_miscommunication,injury_stoppage_in_chain,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Offside,event_type_Pass,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
18fe4d79-2094-40a0-8ffc-b1ad1c794a9e,1970,2,00:12:23.115,57,23,132,0.0,2,Ball Recovery,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,,"[2.2, 62.5]",6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.115,3.467999999999961,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9649841678624155
89ae1bf0-cd9a-4e42-add5-025184f871d1,1971,2,00:12:23.115,57,23,132,19.098194,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['18fe4d79-2094-40a0-8ffc-b1ad1c794a9e', '23181da8-ac5e-42aa-a64d-7d1a6b22acd7', '50d9ad5a-8da1-441b-9192-5258e93634d2']","[2.2, 62.5]",6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,,,,,,,,,,,,"[10.3, 57.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.115,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6516562952778973
50d9ad5a-8da1-441b-9192-5258e93634d2,1972,2,00:12:24.390,57,24,132,1.437318,17,Pressure,1041,Sporting Gijón,1,Regular Play,207,Valencia,,,['89ae1bf0-cd9a-4e42-add5-025184f871d1'],"[107.6, 16.7]",6596.0,José Luis Gayà Peña,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.39,1.2749999999999773,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.14369003866838026
23181da8-ac5e-42aa-a64d-7d1a6b22acd7,1973,2,00:12:42.213,57,42,132,1.106092,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['a769cd48-3a04-40f9-a48e-35783d2347af', 'b18a539f-ddab-4eb6-89ae-32f6b31bb0c9']","[10.3, 57.6]",6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,6880.0,Arnaldo Antonio Sanabria Ayala,81.47257,-0.06509854,3.0,High Pass,"[91.6, 52.3]",68.0,Drop Kick,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.213,17.82299999999998,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.19514733209774615
b18a539f-ddab-4eb6-89ae-32f6b31bb0c9,1974,2,00:12:43.319,57,43,132,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['23181da8-ac5e-42aa-a64d-7d1a6b22acd7'],"[87.1, 47.9]",6880.0,Arnaldo Antonio Sanabria Ayala,23.0,Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.319,1.1059999999999945,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3662867685280047
a769cd48-3a04-40f9-a48e-35783d2347af,1975,2,00:12:43.319,57,43,132,2.576096,30,Pass,1041,Sporting Gijón,1,Regular Play,207,Valencia,,,"['23181da8-ac5e-42aa-a64d-7d1a6b22acd7', '29556e44-26fc-412a-b014-3a6988cdd3e4']","[28.5, 27.8]",3638.0,Shkodran Mustafi,3.0,Right Center Back,10802.0,André Filipe Tavares Gomes,20.812737,-0.2624594,3.0,High Pass,"[48.6, 22.4]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.319,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9204748496132856
8cff5f23-c14a-4cc4-8640-eeb7b35c4f25,1976,2,00:12:44.886,57,44,132,1.339632,17,Pressure,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['29556e44-26fc-412a-b014-3a6988cdd3e4', '37b2a570-34ea-4a00-ab45-a258e0fbcd6d']","[70.6, 60.9]",13107.0,Sergio Álvarez Díaz,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.886,1.5670000000000073,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4117382043948983
61845d70-ba9d-40ce-abfd-b19eb22d7bbd,1977,2,00:12:45.662,57,45,132,0.815326,17,Pressure,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['29556e44-26fc-412a-b014-3a6988cdd3e4', '37b2a570-34ea-4a00-ab45-a258e0fbcd6d']","[72.4, 56.3]",23848.0,Carlos Carmona Bonet,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.662,0.7760000000000673,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.25304617673559404
29556e44-26fc-412a-b014-3a6988cdd3e4,1978,2,00:12:45.895,57,45,132,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,207,Valencia,,,"['61845d70-ba9d-40ce-abfd-b19eb22d7bbd', '8cff5f23-c14a-4cc4-8640-eeb7b35c4f25', 'a769cd48-3a04-40f9-a48e-35783d2347af']","[48.6, 22.4]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.895,0.23299999999994725,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9632155113952724
37b2a570-34ea-4a00-ab45-a258e0fbcd6d,1979,2,00:12:45.895,57,45,132,0.774332,43,Carry,1041,Sporting Gijón,1,Regular Play,207,Valencia,,,"['29556e44-26fc-412a-b014-3a6988cdd3e4', '61845d70-ba9d-40ce-abfd-b19eb22d7bbd', '8cff5f23-c14a-4cc4-8640-eeb7b35c4f25', '9037d738-d2b9-45be-9109-752067da83fb']","[48.6, 22.4]",10802.0,André Filipe Tavares Gomes,15.0,Left Center Midfield,,,,,,,,,,,,"[48.6, 23.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.895,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13578543443080626
