id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,off_camera,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,pass_switch,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,duel_outcome_id,duel_outcome_name,pass_cross,pass_cut_back,dribble_outcome_id,dribble_outcome_name,dribble_overrun,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,out,clearance_right_foot,pass_shot_assist,goalkeeper_end_location,pass_outswinging,clearance_head,clearance_aerial_won,foul_committed_type_id,foul_committed_type_name,dribble_nutmeg,pass_inswinging,block_deflection,foul_committed_advantage,foul_won_advantage,ball_recovery_recovery_failure,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,injury_stoppage_in_chain,pass_no_touch,shot_aerial_won,shot_one_on_one,foul_committed_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
fcc5a688-7605-4523-abc7-b66fff886f0f,2835,2,00:23:36.460,68,36,143,,42,Ball Receipt*,221,Levante UD,4,From Throw In,221,Levante UD,,,['9e05f7d6-212a-4dcc-9db5-f13362c0cd2d'],"[62.5, 53.3]",26211.0,Joan Verdú Fernández,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416.46,0.9370000000001255,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5035330152281295
628d81a7-4d59-4dd9-a3ff-c1f12fe3bd59,2836,2,00:23:36.460,68,36,143,2.67114,43,Carry,221,Levante UD,4,From Throw In,221,Levante UD,,,"['b0e2de9d-ec53-43a5-ad53-a69cfd746fbe', 'fcc5a688-7605-4523-abc7-b66fff886f0f']","[62.5, 53.3]",26211.0,Joan Verdú Fernández,19.0,Center Attacking Midfield,,,,,,,,,,,,"[60.4, 38.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416.46,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5152774420340839
b0e2de9d-ec53-43a5-ad53-a69cfd746fbe,2837,2,00:23:39.131,68,39,143,2.190428,30,Pass,221,Levante UD,4,From Throw In,221,Levante UD,,,['34007f54-30b7-453e-acdd-cfc06000abdf'],"[60.4, 38.3]",26211.0,Joan Verdú Fernández,19.0,Center Attacking Midfield,26023.0,Juan Francisco García García,25.878563,-1.3248805,1.0,Ground Pass,"[66.7, 13.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.131,2.671000000000049,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.6118222306254513
34007f54-30b7-453e-acdd-cfc06000abdf,2838,2,00:23:41.321,68,41,143,,42,Ball Receipt*,221,Levante UD,4,From Throw In,221,Levante UD,,,['b0e2de9d-ec53-43a5-ad53-a69cfd746fbe'],"[66.7, 13.2]",26023.0,Juan Francisco García García,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421.321,2.189999999999827,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6330362905854094
b4f3df76-804b-46fb-a6ee-308ca4dfa6ac,2839,2,00:23:41.321,68,41,143,1.4323831,43,Carry,221,Levante UD,4,From Throw In,221,Levante UD,,,"['34007f54-30b7-453e-acdd-cfc06000abdf', '6f45839d-bb1e-493a-a4bb-03bc756a19e9']","[66.7, 13.2]",26023.0,Juan Francisco García García,6.0,Left Back,,,,,,,,,,,,"[65.3, 7.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421.321,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5356575483908994
6f45839d-bb1e-493a-a4bb-03bc756a19e9,2840,2,00:23:42.754,68,42,143,2.228798,30,Pass,221,Levante UD,4,From Throw In,221,Levante UD,,,"['00f7d6c6-9ce0-4d85-93c7-deb029efb1a9', '4cde1231-11cf-4ff0-bc3a-1e2b40e526d2']","[65.3, 7.1]",26023.0,Juan Francisco García García,6.0,Left Back,6668.0,José Luis Morales Nogales,39.181755,0.3790846,3.0,High Pass,"[101.7, 21.6]",38.0,Left Foot,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422.754,1.4329999999999927,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.10189631344707806
4cde1231-11cf-4ff0-bc3a-1e2b40e526d2,2841,2,00:23:44.983,68,44,143,,42,Ball Receipt*,221,Levante UD,4,From Throw In,221,Levante UD,,,['6f45839d-bb1e-493a-a4bb-03bc756a19e9'],"[104.1, 20.7]",6668.0,José Luis Morales Nogales,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.983,2.229000000000042,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7454319147238688
00f7d6c6-9ce0-4d85-93c7-deb029efb1a9,2842,2,00:23:44.983,68,44,143,3.50144,30,Pass,221,Levante UD,4,From Throw In,212,Atlético Madrid,,,"['6f45839d-bb1e-493a-a4bb-03bc756a19e9', '7696dfa5-ced1-4c47-aae3-7de39079c472']","[18.4, 58.5]",5259.0,José María Giménez de Vargas,3.0,Right Center Back,6375.0,Juan Francisco Torres Belén,21.99932,1.3368425,3.0,High Pass,"[23.5, 79.9]",37.0,Head,64.0,Interception,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.983,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.21436325731965333
7fa200ac-d668-4aa7-ac0f-7b3f7c399d44,2843,2,00:23:47.370,68,47,143,0.6271,17,Pressure,221,Levante UD,4,From Throw In,212,Atlético Madrid,,,['2b5cafa8-b9bd-4d9d-8c48-337a8d163e4f'],"[20.4, 77.1]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.37,2.3869999999999436,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.34079569983708535
2b5cafa8-b9bd-4d9d-8c48-337a8d163e4f,2844,2,00:23:47.727,68,47,143,0.0,28,Shield,221,Levante UD,4,From Throw In,221,Levante UD,,,['7fa200ac-d668-4aa7-ac0f-7b3f7c399d44'],"[96.6, 2.4]",5678.0,Jefferson Andrés Lerma Solís,11.0,Left Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.727,0.35700000000019827,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.1370737411177262
