id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,pass_deflected,block_deflection,interception_outcome_id,interception_outcome_name,out,pass_switch,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_head,shot_first_time,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,clearance_aerial_won,pass_technique_id,pass_technique_name,pass_inswinging,pass_through_ball,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,foul_committed_type_id,foul_committed_type_name,dribble_overrun,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,pass_cut_back,injury_stoppage_in_chain,pass_outswinging,50_50_outcome_id,50_50_outcome_name,pass_goal_assist,shot_deflected,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
7fff1b67-ceac-4f93-a175-3ab5d25d2fcf,1163,1,00:30:11.582,30,11,63,1.434879,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['016e16cb-2412-4d44-a013-fe37f60eea06', 'e2e479ab-cbce-49c4-96d6-110fbaa70cd4', 'e609ff16-6f22-4591-8e70-b7c744330f85']",,"[9.4, 44.7]",26103.0,Idriss Carlos Kameni,1.0,Goalkeeper,,,,,,,,,,,,"[8.2, 43.3]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811.582,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3430945369738404
e609ff16-6f22-4591-8e70-b7c744330f85,1164,1,00:30:12.267,30,12,63,1.013728,17,Pressure,223,Málaga,1,Regular Play,212,Atlético Madrid,,,"['7fff1b67-ceac-4f93-a175-3ab5d25d2fcf', 'e2e479ab-cbce-49c4-96d6-110fbaa70cd4']",,"[108.5, 39.4]",5487.0,Antoine Griezmann,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812.267,0.6849999999999454,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7602304385915954
e2e479ab-cbce-49c4-96d6-110fbaa70cd4,1165,1,00:30:13.017,30,13,63,1.545802,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,"['a2752c89-3918-4d36-8544-ebe92e311f65', 'e609ff16-6f22-4591-8e70-b7c744330f85']",,"[8.2, 43.3]",26103.0,Idriss Carlos Kameni,1.0,Goalkeeper,6569.0,Roberto José Rosales Altuve,41.76805,0.94692874,2.0,Low Pass,"[32.6, 77.2]",40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1813.017,0.75,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.12871222895971057
a2752c89-3918-4d36-8544-ebe92e311f65,1166,1,00:30:14.562,30,14,63,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['e2e479ab-cbce-49c4-96d6-110fbaa70cd4'],,"[32.6, 77.2]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814.562,1.5449999999998454,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.46472316545409886
22636a9b-4017-4939-806d-c8c57c8f7708,1167,1,00:30:14.562,30,14,63,2.291468,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['52283ab2-1845-40ce-817f-b18b0e98d95a', 'a2752c89-3918-4d36-8544-ebe92e311f65']",,"[32.6, 77.2]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,,,,,,,,,,,,"[28.5, 74.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814.562,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.11039351025410216
52283ab2-1845-40ce-817f-b18b0e98d95a,1168,1,00:30:16.854,30,16,63,1.198877,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['6fd897ea-0782-4a50-835a-1348d4c6d428'],,"[28.5, 74.7]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,8234.0,Ignacio Camacho Barnola,20.57693,-1.1767529,1.0,Ground Pass,"[36.4, 55.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816.854,2.2920000000001437,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.1372177909758625
6fd897ea-0782-4a50-835a-1348d4c6d428,1169,1,00:30:18.053,30,18,63,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['52283ab2-1845-40ce-817f-b18b0e98d95a'],,"[36.4, 55.7]",8234.0,Ignacio Camacho Barnola,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1818.053,1.1990000000000691,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8624757376600372
c2190167-3b72-455f-9e41-286fdb3c8f30,1170,1,00:30:18.053,30,18,63,0.992054,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['cefac9a2-81fe-474a-99dc-6d39142b2535'],,"[36.4, 55.7]",8234.0,Ignacio Camacho Barnola,11.0,Left Defensive Midfield,6559.0,Juan Carlos Pérez López,21.424519,1.0904489,1.0,Ground Pass,"[46.3, 74.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1818.053,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.18464600029417677
ec9f3d67-b4e1-4f32-9ff2-08802763d6a9,1171,1,00:30:18.935,30,18,63,1.099559,17,Pressure,223,Málaga,1,Regular Play,212,Atlético Madrid,,,"['0d44e8f4-47b0-4fe2-b7e9-5473c9e2dfe7', '8a68aa22-9af7-4305-b77e-32967bb46fce', 'b02b1dfc-cea0-4f9a-a66f-5d31adaa5962', 'cefac9a2-81fe-474a-99dc-6d39142b2535']",,"[70.7, 4.3]",6320.0,Filipe Luís Kasmirski,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1818.935,0.8819999999998345,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.8614276280454771
cefac9a2-81fe-474a-99dc-6d39142b2535,1172,1,00:30:19.045,30,19,63,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,"['c2190167-3b72-455f-9e41-286fdb3c8f30', 'ec9f3d67-b4e1-4f32-9ff2-08802763d6a9']",,"[46.3, 74.7]",6559.0,Juan Carlos Pérez López,16.0,Left Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1819.045,0.11000000000012733,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8410007640134533
b02b1dfc-cea0-4f9a-a66f-5d31adaa5962,1173,1,00:30:19.045,30,19,63,0.83977,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,"['8a68aa22-9af7-4305-b77e-32967bb46fce', 'ec9f3d67-b4e1-4f32-9ff2-08802763d6a9']",,"[47.7, 74.1]",6559.0,Juan Carlos Pérez López,16.0,Left Midfield,6569.0,Roberto José Rosales Altuve,5.2009616,2.2335258,1.0,Ground Pass,"[44.5, 78.2]",38.0,Left Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1819.045,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3639766172011035
