id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_cut_back,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,dribble_outcome_id,dribble_outcome_name,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,clearance_left_foot,pass_cross,clearance_aerial_won,clearance_head,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,ball_recovery_recovery_failure,pass_technique_id,pass_technique_name,pass_outswinging,interception_outcome_id,interception_outcome_name,pass_inswinging,dribble_overrun,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,shot_first_time,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_goal_assist,shot_one_on_one,pass_no_touch,block_save_block,foul_committed_advantage,foul_won_advantage,block_offensive,shot_redirect,block_deflection,foul_committed_penalty,foul_won_penalty,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
e774d3dd-bcc7-4796-95a0-4c98a13bdd9d,3419,2,00:43:37.962,88,37,197,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['892589fc-d4ce-4f57-a558-2b58f750f2e0'],,"[58.0, 44.7]",6763.0,Pablo Daniel Piatti,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2617.962,2.16800000000012,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.35574813947010986
c356c53e-9cd6-47f8-8e64-2de97a342308,3420,2,00:43:37.962,88,37,198,0.0,2,Ball Recovery,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['892589fc-d4ce-4f57-a558-2b58f750f2e0'],,"[60.9, 37.7]",12021.0,Óliver Torres Muñoz,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2617.962,0.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12297214266487855
2a57f18c-2af8-49ea-a61c-f0d0b661022b,3421,2,00:43:37.962,88,37,198,0.560128,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['1ad235d8-07dc-489e-849d-d138aaf3e125', 'c356c53e-9cd6-47f8-8e64-2de97a342308']",,"[60.9, 37.7]",12021.0,Óliver Torres Muñoz,16.0,Left Midfield,,,,,,,,,,,,"[61.7, 40.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2617.962,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.735422211390124
1ad235d8-07dc-489e-849d-d138aaf3e125,3422,2,00:43:38.522,88,38,198,0.953686,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['0277eaa1-9112-4a1f-ae2d-0e9728086aff'],,"[61.7, 40.2]",12021.0,Óliver Torres Muñoz,16.0,Left Midfield,6384.0,Gabriel Fernández Arenas,10.993179,1.9529918,1.0,Ground Pass,"[57.6, 50.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618.522,0.5599999999999454,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5708534770899126
0277eaa1-9112-4a1f-ae2d-0e9728086aff,3423,2,00:43:39.476,88,39,198,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['1ad235d8-07dc-489e-849d-d138aaf3e125'],,"[57.6, 50.4]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619.476,0.9540000000001783,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8533843680526734
36a6db18-d6f1-4b11-9d32-fd0b596a3a26,3424,2,00:43:39.476,88,39,198,0.721345,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['0277eaa1-9112-4a1f-ae2d-0e9728086aff', 'e9d49120-1429-41d7-adc4-5bdfbd91ccbe']",,"[57.6, 50.4]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,"[57.8, 50.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619.476,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4687465677379551
e9d49120-1429-41d7-adc4-5bdfbd91ccbe,3425,2,00:43:40.197,88,40,198,1.21641,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['607d02d9-c984-4ccb-9664-93d36206655c'],,"[57.8, 50.9]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,5199.0,Jorge Resurrección Merodio,11.128792,0.8553476,1.0,Ground Pass,"[65.1, 59.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2620.197,0.7210000000000036,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5171292056250519
607d02d9-c984-4ccb-9664-93d36206655c,3426,2,00:43:41.414,88,41,198,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['e9d49120-1429-41d7-adc4-5bdfbd91ccbe'],,"[65.1, 59.3]",5199.0,Jorge Resurrección Merodio,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621.414,1.2170000000000982,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9130771300221461
da90e5f3-2f6c-4970-a82a-fe21942680d6,3427,2,00:43:41.414,88,41,198,2.08934,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['607d02d9-c984-4ccb-9664-93d36206655c', 'c15f2314-c9fb-49e6-b442-c92e7fe6dda5', 'f595724e-9541-45ae-a462-84226af67509']",,"[65.1, 59.3]",5199.0,Jorge Resurrección Merodio,12.0,Right Midfield,,,,,,,,,,,,"[58.5, 61.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621.414,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7437623317537098
f595724e-9541-45ae-a462-84226af67509,3428,2,00:43:41.908,88,41,198,0.849234,17,Pressure,212,Atlético Madrid,1,Regular Play,207,Valencia,,,['da90e5f3-2f6c-4970-a82a-fe21942680d6'],,"[51.3, 21.3]",6596.0,José Luis Gayà Peña,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621.908,0.49399999999968713,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.4409222792360622
c15f2314-c9fb-49e6-b442-c92e7fe6dda5,3429,2,00:43:43.503,88,43,198,1.696993,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['2ddfee62-2d65-429e-857f-f3dc8d1cbea7'],,"[58.5, 61.5]",5199.0,Jorge Resurrección Merodio,12.0,Right Midfield,6375.0,Juan Francisco Torres Belén,15.454773,1.9765377,1.0,Ground Pass,"[52.4, 75.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623.503,1.5950000000002547,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7141769663878117
2ddfee62-2d65-429e-857f-f3dc8d1cbea7,3430,2,00:43:45.200,88,45,198,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['c15f2314-c9fb-49e6-b442-c92e7fe6dda5'],,"[52.4, 75.7]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625.2,1.6969999999996617,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.717227062062494
a150412d-b92d-4684-bbdd-02318ed7f7fe,3431,2,00:43:45.200,88,45,198,3.164261,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['26612836-e75d-4a25-8594-2c9d371d0873'],,"[52.4, 75.9]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,43.94007,-0.6416804,3.0,High Pass,"[87.6, 49.6]",40.0,Right Foot,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625.2,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.564974414344965
26612836-e75d-4a25-8594-2c9d371d0873,3432,2,00:43:48.364,88,48,199,0.0,2,Ball Recovery,207,Valencia,1,Regular Play,207,Valencia,,,['a150412d-b92d-4684-bbdd-02318ed7f7fe'],,"[32.5, 30.5]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2628.364,3.1640000000002146,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.839709358118552
5215818a-4866-4e62-95c9-687c8a4a63db,3433,2,00:43:48.364,88,48,199,0.71254,43,Carry,207,Valencia,1,Regular Play,207,Valencia,,,"['01460d4a-62fa-4920-8604-f30dcd6f8082', '26612836-e75d-4a25-8594-2c9d371d0873']",,"[32.5, 30.5]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,"[32.2, 33.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2628.364,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05318442926563138
01460d4a-62fa-4920-8604-f30dcd6f8082,3434,2,00:43:49.077,88,49,199,2.765236,30,Pass,207,Valencia,1,Regular Play,207,Valencia,,,['fac2fe96-a85a-4a83-bf58-41a0e991ee61'],,"[32.2, 33.3]",3638.0,Shkodran Mustafi,3.0,Right Center Back,7005.0,João Pedro Cavaco Cancelo,36.258102,1.0639657,1.0,Ground Pass,"[49.8, 65.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629.077,0.7130000000001928,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.12634194587438408
