id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,out,duel_type_id,duel_type_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,pass_cross,shot_first_time,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,clearance_head,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,miscontrol_aerial_won,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,pass_goal_assist,pass_straight,pass_cut_back,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,pass_through_ball,block_offensive,dribble_overrun,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
b6015d92-b2fa-4215-be17-2572a6793c22,2942,2,00:35:04.237,80,4,145,0.0,22,Foul Committed,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,,,"[98.3, 57.4]",6797.0,Daniel Wass,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,Handball,True,,,,,,,,,,,,,,,,,,,,,2104.237,0.03999999999996362,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7096722878944188
0c4cd800-b1f4-47cd-8433-6a85d72e85be,2943,2,00:35:34.948,80,34,146,3.533378,30,Pass,213,Sevilla,3,From Free Kick,213,Sevilla,,,['7422191f-6815-46e2-9ab3-d9cce9938c3c'],,"[27.8, 23.8]",6823.0,Sergio Rico González,1.0,Goalkeeper,6841.0,Víctor Machín Pérez,64.479225,0.3251836,3.0,High Pass,"[88.9, 44.4]",40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134.948,30.710999999999785,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6006453122964475
7422191f-6815-46e2-9ab3-d9cce9938c3c,2944,2,00:35:38.481,80,38,146,,42,Ball Receipt*,213,Sevilla,3,From Free Kick,213,Sevilla,,,['0c4cd800-b1f4-47cd-8433-6a85d72e85be'],,"[88.9, 44.4]",6841.0,Víctor Machín Pérez,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2138.481,3.5330000000003565,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.650579583128344
fcdd0f73-56dd-416b-b3e4-df4d1b345db1,2945,2,00:35:38.481,80,38,146,1.370184,30,Pass,213,Sevilla,3,From Free Kick,213,Sevilla,,,"['16932db0-e51a-4104-bf8a-714b6f1e9733', '9122bba0-ba5b-4d53-b377-3e4bad92f1ec', 'eb74b77d-50a2-4682-9a37-197751674389']",,"[89.8, 44.4]",6841.0,Víctor Machín Pérez,17.0,Right Wing,6401.0,Kevin Gameiro,8.95377,0.35354197,3.0,High Pass,"[98.2, 47.5]",,,,,,9.0,Incomplete,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2138.481,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9960279103829652
9122bba0-ba5b-4d53-b377-3e4bad92f1ec,2946,2,00:35:38.481,80,38,146,0.0,4,Duel,213,Sevilla,3,From Free Kick,209,Celta Vigo,,,['fcdd0f73-56dd-416b-b3e4-df4d1b345db1'],,"[30.3, 35.7]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,,,,,,,,,,,,,,,,,True,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2138.481,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.49957430474420605
16932db0-e51a-4104-bf8a-714b6f1e9733,2947,2,00:35:39.852,80,39,146,,42,Ball Receipt*,213,Sevilla,3,From Free Kick,213,Sevilla,,,['fcdd0f73-56dd-416b-b3e4-df4d1b345db1'],,"[96.8, 47.0]",6401.0,Kevin Gameiro,23.0,Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.852,1.3709999999996398,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5090634887238633
eb74b77d-50a2-4682-9a37-197751674389,2948,2,00:35:39.852,80,39,146,0.0,9,Clearance,213,Sevilla,3,From Free Kick,209,Celta Vigo,,,['fcdd0f73-56dd-416b-b3e4-df4d1b345db1'],,"[21.9, 32.6]",7577.0,Carles Planas Antolínez,6.0,Left Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.852,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5488524465287417
b7b37934-e0e6-417c-bce7-5cb515d1e335,2949,2,00:35:41.872,80,41,147,1.450887,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['3e828fb7-05be-4765-bc0a-b020c96f7784'],,"[20.9, 31.3]",7577.0,Carles Planas Antolínez,6.0,Left Back,23785.0,Théo Bongonda Mbul''Ofeko Batombo,12.80039,-0.6356888,3.0,High Pass,"[31.2, 23.7]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141.872,2.019999999999982,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6168008604868764
3e828fb7-05be-4765-bc0a-b020c96f7784,2950,2,00:35:43.323,80,43,147,,42,Ball Receipt*,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['b7b37934-e0e6-417c-bce7-5cb515d1e335'],,"[31.2, 23.7]",23785.0,Théo Bongonda Mbul''Ofeko Batombo,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143.323,1.4510000000000218,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.010520915425058841
b8786739-c3e8-417e-b57e-6f94c6521c48,2951,2,00:35:43.323,80,43,147,1.800785,43,Carry,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['1c019ca8-27af-4a14-b2de-c3433ced79a5', '3e828fb7-05be-4765-bc0a-b020c96f7784', 'b3218eb6-694c-4975-9542-de2f04ff0fea']",,"[31.2, 23.7]",23785.0,Théo Bongonda Mbul''Ofeko Batombo,21.0,Left Wing,,,,,,,,,,,,"[26.4, 7.3]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143.323,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7197165364664787
b3218eb6-694c-4975-9542-de2f04ff0fea,2952,2,00:35:44.367,80,44,147,0.599866,17,Pressure,209,Celta Vigo,1,Regular Play,213,Sevilla,,,['b8786739-c3e8-417e-b57e-6f94c6521c48'],,"[90.9, 70.2]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2144.367,1.0440000000003238,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.18741929916909805
1c019ca8-27af-4a14-b2de-c3433ced79a5,2953,2,00:35:45.124,80,45,147,0.043562,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['43a8d662-098c-4961-b0bc-f6a3e5b99827'],,"[26.4, 7.3]",23785.0,Théo Bongonda Mbul''Ofeko Batombo,21.0,Left Wing,,,2.4041631,-0.29544082,1.0,Ground Pass,"[28.7, 6.6]",38.0,Left Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145.124,0.7569999999996071,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.889742017230165
43a8d662-098c-4961-b0bc-f6a3e5b99827,2954,2,00:35:45.167,80,45,147,0.0,6,Block,209,Celta Vigo,1,Regular Play,213,Sevilla,,,['1c019ca8-27af-4a14-b2de-c3433ced79a5'],,"[91.4, 73.5]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145.167,0.04300000000012005,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17203973756304725
aa798ec3-a639-46b5-8395-0699bd4780b9,2955,2,00:35:55.640,80,55,148,1.321023,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['136440a0-7a2c-424e-9e06-c1f4cd448c1a'],,"[30.9, 0.1]",7577.0,Carles Planas Antolínez,6.0,Left Back,6801.0,Pedro Pablo Hernández,18.064882,0.6202495,3.0,High Pass,"[45.6, 10.6]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155.64,10.472999999999956,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7446575010628886
136440a0-7a2c-424e-9e06-c1f4cd448c1a,2956,2,00:35:56.961,80,56,148,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['aa798ec3-a639-46b5-8395-0699bd4780b9'],,"[45.6, 10.6]",6801.0,Pedro Pablo Hernández,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2156.961,1.3209999999999127,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08226173922547775
9fac2c43-eee5-4224-8e93-9d97618fd2c5,2957,2,00:35:56.999,80,56,148,1.511582,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['698422cd-d981-43b7-bc06-ca1de576941f'],,"[45.3, 10.6]",6801.0,Pedro Pablo Hernández,9.0,Right Defensive Midfield,7577.0,Carles Planas Antolínez,9.296236,-2.9357586,2.0,Low Pass,"[36.2, 8.7]",37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2156.999,0.038000000000010914,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.4639970138528242
698422cd-d981-43b7-bc06-ca1de576941f,2958,2,00:35:58.511,80,58,148,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['9fac2c43-eee5-4224-8e93-9d97618fd2c5'],,"[36.2, 8.7]",7577.0,Carles Planas Antolínez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.511,1.512000000000171,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5068321019128135
a1b66ec2-7b03-4a12-9222-6ad877099284,2959,2,00:35:58.511,80,58,148,0.96,43,Carry,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['698422cd-d981-43b7-bc06-ca1de576941f', 'c04ce6f6-0004-4a70-8885-69af3a80d7e6']",,"[36.2, 8.7]",7577.0,Carles Planas Antolínez,6.0,Left Back,,,,,,,,,,,,"[35.6, 10.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.511,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.46156441000858617
c04ce6f6-0004-4a70-8885-69af3a80d7e6,2960,2,00:35:59.471,80,59,148,1.25717,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['7d6fae59-013d-4ee3-a076-5c1103e63657'],,"[35.6, 10.6]",7577.0,Carles Planas Antolínez,6.0,Left Back,6804.0,Sergi Gómez Solà,18.069311,2.8899026,1.0,Ground Pass,"[18.1, 15.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159.471,0.9600000000000364,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9274868333890454
7d6fae59-013d-4ee3-a076-5c1103e63657,2961,2,00:36:00.728,81,0,148,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['c04ce6f6-0004-4a70-8885-69af3a80d7e6'],,"[18.1, 15.1]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160.728,1.2570000000000618,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9630449084929162
cccf0f34-6584-4ba3-b73c-20ac173fd26c,2962,2,00:36:00.728,81,0,148,1.36,43,Carry,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['3921780e-fb11-46da-8b18-429ebf5b536a', '7d6fae59-013d-4ee3-a076-5c1103e63657']",,"[18.1, 15.1]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,,,,,,,,,,,,"[19.4, 16.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160.728,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6231994568601126
