id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,under_pressure,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,out,pass_aerial_won,dribble_overrun,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_cross,clearance_head,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,pass_technique_id,pass_technique_name,pass_inswinging,shot_key_pass_id,shot_aerial_won,shot_one_on_one,dribble_no_touch,clearance_left_foot,ball_recovery_recovery_failure,pass_cut_back,pass_through_ball,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_card_id,foul_committed_card_name,clearance_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_straight,pass_deflected,pass_outswinging,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
fafeba5e-4e66-477a-9ffd-7e635b6debb2,548,1,00:10:58.435,10,58,27,0.874181,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,"['70a051dd-2f37-46c9-ab8e-a84d46bfa664', '99845fee-2658-4733-bc2c-abe50dd70d92']",,"[42.2, 17.4]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,6609.0,Denis Suárez Fernández,9.581754,-1.252346,1.0,Ground Pass,"[45.2, 8.3]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.435,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.023789179624745804
99845fee-2658-4733-bc2c-abe50dd70d92,549,1,00:10:59.309,10,59,27,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['fafeba5e-4e66-477a-9ffd-7e635b6debb2'],,"[45.2, 8.3]",6609.0,Denis Suárez Fernández,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.309,0.8740000000000236,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0669278951179284
2c58a364-46a5-433c-8b71-ce34cd2ae9fa,550,1,00:10:59.309,10,59,27,0.750153,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['3ebcfba8-76cc-4432-b1d6-640a1b9c3d15'],,"[46.0, 8.3]",6609.0,Denis Suárez Fernández,16.0,Left Midfield,22819.0,Bruno Soriano Llido,12.39758,1.7903402,1.0,Ground Pass,"[43.3, 20.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.309,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7938058138789406
3ebcfba8-76cc-4432-b1d6-640a1b9c3d15,551,1,00:11:00.059,11,0,27,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['2c58a364-46a5-433c-8b71-ce34cd2ae9fa'],,"[43.3, 20.4]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.059,0.75,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9924974858356413
21dfb4c5-3d9a-4320-99b8-4482a41dc78c,552,1,00:11:00.059,11,0,27,0.39700902,43,Carry,222,Villarreal,1,Regular Play,222,Villarreal,,,"['3ebcfba8-76cc-4432-b1d6-640a1b9c3d15', 'e67d3832-ae48-4ce6-b836-2864066e47da']",,"[43.3, 20.4]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,,,,,,,,,,,,"[43.3, 20.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.059,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.852458838156837
e67d3832-ae48-4ce6-b836-2864066e47da,553,1,00:11:00.456,11,0,27,0.718592,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['ac0e2f0d-e91b-4418-aa77-72f8b011d786'],,"[43.3, 20.4]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,6935.0,Adrián Marín Gómez,11.088733,-2.2539878,1.0,Ground Pass,"[36.3, 11.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.456,0.3970000000000482,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5369334202425817
ac0e2f0d-e91b-4418-aa77-72f8b011d786,554,1,00:11:01.175,11,1,27,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['e67d3832-ae48-4ce6-b836-2864066e47da'],,"[36.3, 11.8]",6935.0,Adrián Marín Gómez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.175,0.7189999999999372,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2994219138458729
560c4ce1-e6b9-4316-ab57-15435adf7ee5,555,1,00:11:01.175,11,1,27,0.748413,43,Carry,222,Villarreal,1,Regular Play,222,Villarreal,,,"['214e3bff-c3dd-4496-8796-7aa7faee7ed8', 'ac0e2f0d-e91b-4418-aa77-72f8b011d786']",,"[36.3, 11.8]",6935.0,Adrián Marín Gómez,6.0,Left Back,,,,,,,,,,,,"[36.3, 11.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.175,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8007911733517313
214e3bff-c3dd-4496-8796-7aa7faee7ed8,556,1,00:11:01.923,11,1,27,1.073417,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['1b149f1d-f604-408f-9efc-36b4e9d224b6'],,"[36.3, 11.5]",6935.0,Adrián Marín Gómez,6.0,Left Back,6752.0,Víctor Ruíz Torre,19.811613,2.3204954,1.0,Ground Pass,"[22.8, 26.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.923,0.7480000000000473,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.06717732483948258
1b149f1d-f604-408f-9efc-36b4e9d224b6,557,1,00:11:02.996,11,2,27,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['214e3bff-c3dd-4496-8796-7aa7faee7ed8'],,"[22.8, 26.0]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.996,1.072999999999979,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.682564897823479
