id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,out,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,foul_committed_advantage,foul_won_advantage,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,pass_technique_id,pass_technique_name,pass_inswinging,pass_outswinging,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,off_camera,dribble_outcome_id,dribble_outcome_name,pass_cut_back,clearance_head,foul_won_defensive,clearance_aerial_won,pass_through_ball,interception_outcome_id,interception_outcome_name,dribble_overrun,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,pass_miscommunication,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,block_offensive,pass_deflected,shot_aerial_won,dribble_nutmeg,goalkeeper_punched_out,block_deflection,shot_one_on_one,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_deflected,pass_goal_assist,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shot,event_type_Starting XI,event_type_Substitution,pitch_control_score
1717d62c-08fe-4b6e-9262-74f6e4b08e4f,3011,2,00:30:04.212,75,4,179,0.587497,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['6280329f-8c33-4e7a-abec-d39ef0bb09c9'],"[43.9, 57.4]",7161.0,Germán Alejandro Pezzella,3.0,Right Center Back,6593.0,Martín Montoya Torralbo,9.501579,0.85988694,1.0,Ground Pass,"[50.1, 64.6]",40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804.212,8.0150000000001,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.6533562597662982
6280329f-8c33-4e7a-abec-d39ef0bb09c9,3012,2,00:30:04.800,75,4,179,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['1717d62c-08fe-4b6e-9262-74f6e4b08e4f'],"[50.1, 64.6]",6593.0,Martín Montoya Torralbo,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804.8,0.5879999999999654,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6443253040385809
5a388077-3ddb-4133-b55e-2099e5fe9e5a,3013,2,00:30:05.489,75,5,179,0.582918,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['f85b19f9-da87-4fa6-a8d7-f0ab18e4fea3'],"[50.7, 65.4]",6593.0,Martín Montoya Torralbo,2.0,Right Back,6697.0,Daniel Ceballos Fernández,4.0816665,-2.6011732,1.0,Ground Pass,"[47.2, 63.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1805.489,0.6890000000000782,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.5473141968968199
f85b19f9-da87-4fa6-a8d7-f0ab18e4fea3,3014,2,00:30:06.072,75,6,179,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['5a388077-3ddb-4133-b55e-2099e5fe9e5a'],"[47.2, 63.3]",6697.0,Daniel Ceballos Fernández,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806.072,0.5829999999998563,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7795100399642886
519ebef1-d030-400f-9546-962fb4a7979a,3015,2,00:30:06.072,75,6,179,0.081818,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['04d3b241-cdf0-45e8-98b8-05a284cb41fa', 'f85b19f9-da87-4fa6-a8d7-f0ab18e4fea3']","[47.2, 63.3]",6697.0,Daniel Ceballos Fernández,11.0,Left Defensive Midfield,,,,,,,,,,,,"[47.2, 63.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806.072,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3612275081966321
04d3b241-cdf0-45e8-98b8-05a284cb41fa,3016,2,00:30:06.154,75,6,179,0.759481,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['56bc4e84-dd72-4dd2-be98-af4b54feb252'],"[47.2, 63.3]",6697.0,Daniel Ceballos Fernández,11.0,Left Defensive Midfield,6593.0,Martín Montoya Torralbo,8.640023,1.289317,1.0,Ground Pass,"[49.6, 71.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806.154,0.08200000000010732,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.5890446638268276
56bc4e84-dd72-4dd2-be98-af4b54feb252,3017,2,00:30:06.914,75,6,179,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['04d3b241-cdf0-45e8-98b8-05a284cb41fa'],"[49.6, 71.6]",6593.0,Martín Montoya Torralbo,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806.914,0.7599999999999909,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7817909677157339
0511736c-65c5-45d7-b858-707b4a8c6884,3018,2,00:30:06.914,75,6,179,2.590171,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['56bc4e84-dd72-4dd2-be98-af4b54feb252', 'e3f4d84c-15e8-49d6-855b-35058b827287']","[49.6, 71.6]",6593.0,Martín Montoya Torralbo,2.0,Right Back,,,,,,,,,,,,"[42.5, 66.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806.914,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9765061081290881
e3f4d84c-15e8-49d6-855b-35058b827287,3019,2,00:30:09.504,75,9,179,1.317106,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['653762e7-a1eb-4414-8d4c-8c3d94be6436'],"[42.5, 66.8]",6593.0,Martín Montoya Torralbo,2.0,Right Back,7161.0,Germán Alejandro Pezzella,16.19784,-2.5450287,1.0,Ground Pass,"[29.1, 57.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809.504,2.589999999999918,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.18345609777125893
653762e7-a1eb-4414-8d4c-8c3d94be6436,3020,2,00:30:10.821,75,10,179,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['e3f4d84c-15e8-49d6-855b-35058b827287'],"[29.1, 57.7]",7161.0,Germán Alejandro Pezzella,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810.821,1.3170000000000073,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6747264879941464
893e394e-acff-4455-b195-12e1a794fee1,3021,2,00:30:10.821,75,10,179,1.088711,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['386dcba5-8d75-4e9c-bb24-6c3c6215fb47', '653762e7-a1eb-4414-8d4c-8c3d94be6436']","[29.1, 57.7]",7161.0,Germán Alejandro Pezzella,3.0,Right Center Back,,,,,,,,,,,,"[21.2, 52.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810.821,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6149508222294197
386dcba5-8d75-4e9c-bb24-6c3c6215fb47,3022,2,00:30:11.910,75,11,179,1.610129,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['463b8064-6a51-4cb1-be8a-41bf3e5f7d3b'],"[21.2, 52.1]",7161.0,Germán Alejandro Pezzella,3.0,Right Center Back,6654.0,Antonio Adán Garrido,14.993332,-2.337329,1.0,Ground Pass,"[10.8, 41.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811.91,1.0890000000001692,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.13755843089242015
