id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,out,pass_assisted_shot_id,pass_shot_assist,pass_inswinging,pass_technique_id,pass_technique_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,pass_switch,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_through_ball,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_cut_back,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_aerial_won,clearance_head,dribble_overrun,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,pass_cross,foul_won_defensive,clearance_left_foot,block_deflection,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,dribble_nutmeg,pass_outswinging,shot_first_time,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_goal_assist,shot_one_on_one,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
f68f007f-60ff-4a92-87a3-17430f0e8f98,129,1,00:03:05.207,3,5,9,1.157765,43,Carry,212,Atlético Madrid,4,From Throw In,221,Levante UD,,,"['1f67e484-e677-41fa-b7ab-28b33d2bb431', '84af8489-bfb3-4776-b536-979fd88c3df1', '987ad0c1-a4a5-4f25-8754-d6a5189e3bc8']","[39.6, 48.7]",6647.0,Zouhair Feddal,5.0,Left Center Back,,,,,,,,,,,,"[38.7, 54.1]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.207,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.040566398730283226
1f67e484-e677-41fa-b7ab-28b33d2bb431,130,1,00:03:06.249,3,6,9,0.073899,17,Pressure,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['f68f007f-60ff-4a92-87a3-17430f0e8f98'],"[77.6, 28.0]",17622.0,Jackson Arley Martínez Valencia,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.249,1.0420000000000016,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8642192584844329
987ad0c1-a4a5-4f25-8754-d6a5189e3bc8,131,1,00:03:06.365,3,6,9,2.073784,30,Pass,212,Atlético Madrid,4,From Throw In,221,Levante UD,,,['0be7d640-c138-4b21-b1d8-aa4fe8051dc1'],"[38.7, 54.1]",6647.0,Zouhair Feddal,5.0,Left Center Back,8801.0,Iván López Mendoza,21.100948,1.2775239,2.0,Low Pass,"[44.8, 74.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.365,0.11600000000001387,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.29044421946587773
0be7d640-c138-4b21-b1d8-aa4fe8051dc1,132,1,00:03:08.439,3,8,9,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,221,Levante UD,,,['987ad0c1-a4a5-4f25-8754-d6a5189e3bc8'],"[44.8, 74.3]",8801.0,Iván López Mendoza,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.439,2.073999999999984,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.861630099436395
8f06f527-2144-4eb1-a714-fc1043bb5650,133,1,00:03:08.439,3,8,9,1.132399,43,Carry,212,Atlético Madrid,4,From Throw In,221,Levante UD,,,"['0be7d640-c138-4b21-b1d8-aa4fe8051dc1', 'dc036df0-4d91-4671-b51b-f1f9d04b0fc4']","[44.8, 74.3]",8801.0,Iván López Mendoza,2.0,Right Back,,,,,,,,,,,,"[47.5, 79.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.439,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.36086907152570014
dc036df0-4d91-4671-b51b-f1f9d04b0fc4,134,1,00:03:09.571,3,9,9,1.013128,30,Pass,212,Atlético Madrid,4,From Throw In,221,Levante UD,,,"['6a10ed30-6c34-4872-b0ff-fa15704ff6ee', 'd1523b7b-cde7-40f0-ac80-98630d25585b']","[47.5, 79.1]",8801.0,Iván López Mendoza,2.0,Right Back,27250.0,Nabil Ghilas,25.801744,-0.4064185,1.0,Ground Pass,"[71.2, 68.9]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.571,1.132000000000005,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8858320642479335
d1523b7b-cde7-40f0-ac80-98630d25585b,135,1,00:03:10.584,3,10,9,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,221,Levante UD,,,['dc036df0-4d91-4671-b51b-f1f9d04b0fc4'],"[79.7, 66.0]",27250.0,Nabil Ghilas,23.0,Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.584,1.0130000000000052,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6613391931317573
6a10ed30-6c34-4872-b0ff-fa15704ff6ee,136,1,00:03:10.584,3,10,9,0.0,10,Interception,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['dc036df0-4d91-4671-b51b-f1f9d04b0fc4'],"[48.9, 11.2]",6384.0,Gabriel Fernández Arenas,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.584,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.3911948092920138
0489892e-09b7-468c-a41a-8c8a085cb0b0,137,1,00:03:10.584,3,10,9,2.151128,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['328b4dbe-200f-41ad-9c4e-a7007aab5637', '6a10ed30-6c34-4872-b0ff-fa15704ff6ee', 'bf1ced50-0a42-4777-b14a-f7e8bc2d1905']","[48.9, 11.2]",6384.0,Gabriel Fernández Arenas,10.0,Center Defensive Midfield,,,,,,,,,,,,"[42.9, 9.5]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.584,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.08766261400656628
328b4dbe-200f-41ad-9c4e-a7007aab5637,138,1,00:03:11.115,3,11,9,1.966556,17,Pressure,212,Atlético Madrid,4,From Throw In,221,Levante UD,,,"['0489892e-09b7-468c-a41a-8c8a085cb0b0', 'bf1ced50-0a42-4777-b14a-f7e8bc2d1905']","[70.4, 70.0]",5678.0,Jefferson Andrés Lerma Solís,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.115,0.5310000000000059,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.24060462460700793
bf1ced50-0a42-4777-b14a-f7e8bc2d1905,139,1,00:03:12.736,3,12,9,0.971636,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['328b4dbe-200f-41ad-9c4e-a7007aab5637', 'e106c12a-06a7-4d52-8e0e-354014ff19f0']","[42.9, 9.5]",6384.0,Gabriel Fernández Arenas,10.0,Center Defensive Midfield,5249.0,Diego Roberto Godín Leal,11.970798,-3.0327804,1.0,Ground Pass,"[31.0, 8.2]",40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.736,1.620999999999981,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7154036884386704
e106c12a-06a7-4d52-8e0e-354014ff19f0,140,1,00:03:13.707,3,13,9,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['bf1ced50-0a42-4777-b14a-f7e8bc2d1905'],"[31.0, 8.2]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.707,0.9710000000000036,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6025261713072387
