id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_won_defensive,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,clearance_right_foot,out,foul_committed_type_id,foul_committed_type_name,pass_cut_back,duel_type_id,duel_type_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble_outcome_id,dribble_outcome_name,off_camera,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_card_id,foul_committed_card_name,pass_switch,pass_cross,clearance_left_foot,pass_technique_id,pass_technique_name,pass_outswinging,block_offensive,pass_inswinging,pass_through_ball,foul_committed_advantage,foul_won_advantage,shot_aerial_won,pass_miscommunication,goalkeeper_technique_id,goalkeeper_technique_name,clearance_aerial_won,pass_no_touch,pass_goal_assist,shot_first_time,dribble_overrun,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,dribble_nutmeg,shot_open_goal,injury_stoppage_in_chain,player_off_permanent,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Bad Behaviour,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Referee Ball-Drop,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
ff8b7911-c656-4205-9325-a6e5ec48383b,2298,2,00:28:08.649,73,8,152,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['665daefd-ee42-4fb3-92b1-46e75f5c22d3'],"[105.4, 25.2]",6566.0,Borja González Tomás,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688.649,1.3559999999999945,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25253253432239675
5be6d26a-25e5-4224-be94-25f7b6a94353,2299,2,00:28:08.649,73,8,152,1.061863,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['2470f069-3162-4b1b-ae02-942073643e87', 'ff8b7911-c656-4205-9325-a6e5ec48383b']","[105.4, 25.2]",6566.0,Borja González Tomás,24.0,Left Center Forward,,,,,,,,,,,,"[104.3, 17.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688.649,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3063744881384972
2470f069-3162-4b1b-ae02-942073643e87,2300,2,00:28:09.711,73,9,152,1.199072,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['706c956c-5e35-4ce5-b9c3-478386c99f29'],"[104.3, 17.2]",6566.0,Borja González Tomás,24.0,Left Center Forward,6776.0,David Juncà Reñé,11.526057,-1.7188283,1.0,Ground Pass,"[102.6, 5.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689.711,1.0620000000001255,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3995629666070759
706c956c-5e35-4ce5-b9c3-478386c99f29,2301,2,00:28:10.910,73,10,152,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['2470f069-3162-4b1b-ae02-942073643e87'],"[102.6, 5.8]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.91,1.1990000000000691,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7925644517596051
29015407-ccf9-4523-96fa-266f07af4633,2302,2,00:28:10.910,73,10,152,1.864402,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['bb8042e5-e887-4a3e-b1c0-de4ff6793e78'],"[102.6, 5.8]",6776.0,David Juncà Reñé,6.0,Left Back,6700.0,Sergio Enrich Ametller,38.601166,1.4094807,3.0,High Pass,"[108.8, 43.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.91,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.09448454889559565
bb8042e5-e887-4a3e-b1c0-de4ff6793e78,2303,2,00:28:12.774,73,12,152,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['29015407-ccf9-4523-96fa-266f07af4633'],"[108.8, 43.9]",6700.0,Sergio Enrich Ametller,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.774,1.8639999999998054,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9829638750350982
f2646f64-085d-4296-bb02-93b60c1a48b6,2304,2,00:28:12.774,73,12,152,0.08,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['bb8042e5-e887-4a3e-b1c0-de4ff6793e78', 'f1b3ff0a-bc2e-4199-90c5-4e58bb0f4b4f']","[108.8, 43.9]",6700.0,Sergio Enrich Ametller,22.0,Right Center Forward,,,,,,,,,,,,"[108.8, 43.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.774,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5814918624524757
f1b3ff0a-bc2e-4199-90c5-4e58bb0f4b4f,2305,2,00:28:12.854,73,12,152,0.0,38,Miscontrol,322,Eibar,1,Regular Play,322,Eibar,,,,"[108.8, 43.9]",6700.0,Sergio Enrich Ametller,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.854,0.08000000000015461,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.9916859713068733
4295a25b-57ca-418c-8d11-38f84fd1a98c,2306,2,00:28:15.522,73,15,152,0.0,2,Ball Recovery,322,Eibar,1,Regular Play,322,Eibar,,,,"[119.7, 57.4]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.522,2.6679999999998927,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9311912955794807
43c37133-c695-4383-ba78-14f10ee69b2a,2307,2,00:28:15.633,73,15,152,0.366458,16,Shot,322,Eibar,1,Regular Play,322,Eibar,,,['79d0d228-522d-4b59-bcb6-cf1afdaba05d'],"[118.0, 55.9]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009192039,"[119.3, 43.9, 1.0]",,100.0,Saved,91.0,Half Volley,40.0,Right Foot,87.0,Open Play,"[{'location': [92.2, 28.6], 'player': {'id': 24070, 'name': 'Saúl Berjón Pérez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [114.0, 40.4], 'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [105.6, 39.2], 'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.4, 23.7], 'player': {'id': 26781, 'name': 'Diego Mainz García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.6, 32.5], 'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.6, 45.3], 'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.1, 31.9], 'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [117.5, 52.6], 'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.7, 53.2], 'player': {'id': 26387, 'name': 'Edgar Antonio Méndez Ortega'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [97.5, 41.6], 'player': {'id': 25707, 'name': 'Francisco Manuel Rico Castro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.8, 28.6], 'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [119.3, 43.4], 'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,1695.633,0.11100000000010368,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8706035599445446
79d0d228-522d-4b59-bcb6-cf1afdaba05d,2308,2,00:28:16.000,73,16,152,0.0,23,Goal Keeper,322,Eibar,1,Regular Play,1049,Granada,,,['43c37133-c695-4383-ba78-14f10ee69b2a'],"[0.8, 36.7]",8697.0,Andrés Eduardo Fernández Moreno,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,Set,33.0,Shot Saved,,,,52.0,In Play Danger,35.0,Both Hands,,,,,,,,,,,,,,,,,,46.0,Standing,,,,,,,,,,,,,,,1696.0,0.3669999999999618,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7648463671111714
