id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_switch,pass_outcome_id,pass_outcome_name,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_deflected,foul_won_defensive,out,off_camera,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,dribble_nutmeg,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,goalkeeper_end_location,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_cross,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,pass_shot_assist,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,pass_technique_id,pass_technique_name,pass_through_ball,clearance_aerial_won,shot_one_on_one,foul_committed_advantage,foul_won_advantage,pass_inswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,pass_outswinging,shot_aerial_won,dribble_no_touch,goalkeeper_punched_out,pass_straight,pass_no_touch,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
46aa14f3-1fc1-404e-8414-3795ab29554e,1593,1,00:37:51.566,37,51,88,0.0,21,Foul Won,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['8af40560-fa9f-4b34-b7d4-5a0a8cf6132a'],"[76.4, 22.7]",10755.0,Jonathan Viera Ramos,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2271.566,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9955357057307498
e83e2ec2-2dbc-4c41-a835-4881b9b5b5b4,1594,1,00:38:38.761,38,38,89,1.832004,30,Pass,208,Las Palmas,3,From Free Kick,208,Las Palmas,,,['dff886af-f26a-4a1b-bbfe-1831399bb1c1'],"[82.0, 23.4]",26689.0,Nauzet Alemán Viera,17.0,Right Wing,,,34.520283,0.6394455,3.0,High Pass,"[109.7, 44.0]",40.0,Right Foot,62.0,Free Kick,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2318.761,47.195000000000164,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.9139871387479718
dff886af-f26a-4a1b-bbfe-1831399bb1c1,1595,1,00:38:40.593,38,40,90,1.597914,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,"['8d71219e-a212-4bd3-bad5-7667bc581a74', 'e83e2ec2-2dbc-4c41-a835-4881b9b5b5b4']","[10.4, 36.1]",27403.0,Santiago Vergini,3.0,Right Center Back,6745.0,Mehdi Lacen,7.9906197,0.77654886,3.0,High Pass,"[16.1, 41.7]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320.593,1.83199999999988,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.6676934464039842
8d71219e-a212-4bd3-bad5-7667bc581a74,1596,1,00:38:42.191,38,42,90,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['dff886af-f26a-4a1b-bbfe-1831399bb1c1'],"[16.1, 41.7]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2322.191,1.5979999999999563,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6008198132016289
49c463b4-8a09-4434-a3e6-ae1bd0375e53,1597,1,00:38:42.234,38,42,90,1.646653,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['f2798fa7-66ab-45cd-a38f-10a8f8b5aea4'],"[15.9, 41.7]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,6625.0,Vicente Guaita Panadero,13.0,3.1415927,3.0,High Pass,"[2.9, 41.7]",37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2322.234,0.04300000000012005,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.89631400027618
f2798fa7-66ab-45cd-a38f-10a8f8b5aea4,1598,1,00:38:43.881,38,43,90,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['49c463b4-8a09-4434-a3e6-ae1bd0375e53'],"[2.9, 41.7]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2323.881,1.6469999999999345,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03647842652317246
5d223a87-1087-40ac-a851-63a4e20ac66b,1599,1,00:38:43.881,38,43,90,3.989447,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['b8cbcc8a-9dc1-4eea-b4ec-73675537fb45', 'f2798fa7-66ab-45cd-a38f-10a8f8b5aea4']","[2.9, 41.7]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,,,,,,,,,,,,"[15.9, 36.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2323.881,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6950584657522745
b8cbcc8a-9dc1-4eea-b4ec-73675537fb45,1600,1,00:38:47.870,38,47,90,1.691818,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,"['118d751d-b06a-44fb-b294-0df64dcc39e2', 'c321fea7-73d7-456c-9998-c96e046c2821']","[15.9, 36.1]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,15893.0,Víctor Rodríguez Romero,49.454018,-0.39214686,3.0,High Pass,"[61.6, 17.2]",68.0,Drop Kick,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2327.87,3.9890000000000327,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.17825949623610993
c321fea7-73d7-456c-9998-c96e046c2821,1601,1,00:38:49.562,38,49,90,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['b8cbcc8a-9dc1-4eea-b4ec-73675537fb45'],"[66.9, 14.8]",15893.0,Víctor Rodríguez Romero,21.0,Left Wing,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329.562,1.6920000000000073,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7949955853527741
118d751d-b06a-44fb-b294-0df64dcc39e2,1602,1,00:38:49.562,38,49,90,0.0,10,Interception,216,Getafe,1,Regular Play,208,Las Palmas,,,['b8cbcc8a-9dc1-4eea-b4ec-73675537fb45'],"[58.5, 62.9]",10755.0,Jonathan Viera Ramos,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329.562,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9012054539315081
