id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,out,duel_type_id,duel_type_name,pass_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,dribble_outcome_id,dribble_outcome_name,pass_cross,clearance_right_foot,pass_technique_id,pass_technique_name,pass_outswinging,foul_won_defensive,off_camera,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_switch,clearance_left_foot,duel_outcome_id,duel_outcome_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_through_ball,goalkeeper_end_location,foul_committed_card_id,foul_committed_card_name,pass_miscommunication,foul_committed_advantage,foul_won_advantage,pass_goal_assist,dribble_nutmeg,shot_one_on_one,pass_cut_back,foul_committed_type_id,foul_committed_type_name,shot_aerial_won,pass_inswinging,pass_deflected,dribble_overrun,foul_committed_offensive,pass_no_touch,block_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Error,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
337886f3-eb5f-4f46-a935-5fc187ce3e24,21,1,00:00:10.814,0,10,2,1.357974,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['74e5ad03-f44c-4587-9364-9e8f79ce92b4', 'e8189456-6e23-4902-9a17-bd6131537a95']","[78.7, 10.8]",6602.0,Miguel Ángel Guerrero Martín,23.0,Center Forward,24263.0,Ismael López Blanco,1.603122,1.6332152,1.0,Ground Pass,"[78.6, 12.4]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.814,0.9079999999999995,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.49487080732898636
74e5ad03-f44c-4587-9364-9e8f79ce92b4,22,1,00:00:12.172,0,12,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['337886f3-eb5f-4f46-a935-5fc187ce3e24'],"[78.6, 12.4]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.172,1.3580000000000005,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21228601952955684
4af0f9d3-a998-4334-9118-076e6f6da274,23,1,00:00:12.172,0,12,2,0.772136,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['d847ed5a-b895-424b-bfb2-c97e429dd85d'],"[70.9, 10.3]",24263.0,Ismael López Blanco,6.0,Left Back,27526.0,Rachid Aït-Atmane,12.831601,1.5005994,1.0,Ground Pass,"[71.8, 23.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.172,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.00763305044024043
d847ed5a-b895-424b-bfb2-c97e429dd85d,24,1,00:00:12.944,0,12,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['4af0f9d3-a998-4334-9118-076e6f6da274'],"[71.8, 23.1]",27526.0,Rachid Aït-Atmane,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.944,0.7720000000000002,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8497092642556329
b97d6166-ed9a-4633-8009-afef4b82de34,25,1,00:00:12.944,0,12,2,1.236848,43,Carry,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['af89b8fe-ccb6-4948-8ec6-54da4e56b3c1', 'd847ed5a-b895-424b-bfb2-c97e429dd85d']","[71.8, 23.1]",27526.0,Rachid Aït-Atmane,9.0,Right Defensive Midfield,,,,,,,,,,,,"[64.3, 21.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.944,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4374564536430168
af89b8fe-ccb6-4948-8ec6-54da4e56b3c1,26,1,00:00:14.181,0,14,2,1.317865,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['66b484df-d7c3-4cd1-812e-28aecccb91a8'],"[64.3, 21.9]",27526.0,Rachid Aït-Atmane,9.0,Right Defensive Midfield,6561.0,Luis Hernández Rodríguez,19.972982,2.534148,1.0,Ground Pass,"[47.9, 33.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.181,1.2369999999999983,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.3607440633162091
66b484df-d7c3-4cd1-812e-28aecccb91a8,27,1,00:00:15.498,0,15,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['af89b8fe-ccb6-4948-8ec6-54da4e56b3c1'],"[47.9, 33.3]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.498,1.3170000000000002,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.14326941600435972
b18ffe5b-2121-4c5c-8126-b711e999e993,28,1,00:00:15.498,0,15,2,0.927094,43,Carry,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['520c89ed-2561-4ca1-a1ba-2bd4f309d3c0', '66b484df-d7c3-4cd1-812e-28aecccb91a8']","[47.9, 33.3]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,,,,,,,,,,,,"[48.2, 34.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.498,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6755673095438566
520c89ed-2561-4ca1-a1ba-2bd4f309d3c0,29,1,00:00:16.425,0,16,2,1.231082,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['2663c40f-4159-49cf-886d-2fb98e99b7ba'],"[48.2, 34.2]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,23848.0,Carlos Carmona Bonet,26.88215,0.56530267,1.0,Ground Pass,"[70.9, 48.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.425,0.9270000000000014,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9473356991828054
ee17cb0d-caf9-4584-bb5b-d683dbbb3943,30,1,00:00:17.184,0,17,2,1.999974,17,Pressure,1041,Sporting Gijón,9,From Kick Off,360,Rayo Vallecano,,,"['265afb02-e0da-4556-a7c9-36dc72b3d6f5', '2663c40f-4159-49cf-886d-2fb98e99b7ba', '3deb9d6a-a711-46be-9675-ef5b4af6fe3c']","[49.2, 31.5]",11298.0,José Ignacio Martínez García,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.184,0.7590000000000003,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.6350026341133492
