id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,counterpress,pass_outcome_id,pass_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,interception_outcome_id,interception_outcome_name,out,pass_cross,pass_cut_back,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,clearance_head,pass_aerial_won,dribble_nutmeg,dribble_overrun,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_switch,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_end_location,foul_committed_card_id,foul_committed_card_name,ball_recovery_recovery_failure,pass_outswinging,shot_first_time,clearance_aerial_won,pass_miscommunication,clearance_left_foot,pass_inswinging,shot_one_on_one,pass_no_touch,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,shot_aerial_won,block_offensive,block_deflection,shot_open_goal,pass_goal_assist,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
f32b877d-6918-4d3a-ac73-34202b741185,2598,2,00:21:38.975,66,38,163,0.156407,43,Carry,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['2d99bfca-0089-4c77-9fce-91be7086fd75', '7451aa54-0709-4616-8c8d-ae08a0fcad9b']","[74.2, 11.8]",6633.0,Markel Bergara Larrañaga,10.0,Center Defensive Midfield,,,,,,,,,,,,"[73.0, 11.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298.975,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9925426184776702
7451aa54-0709-4616-8c8d-ae08a0fcad9b,2599,2,00:21:39.131,66,39,163,1.625519,30,Pass,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['970ac441-ab79-4ef9-bf68-30f3e1644433'],"[73.0, 11.8]",6633.0,Markel Bergara Larrañaga,10.0,Center Defensive Midfield,6665.0,Íñigo Martínez Berridi,15.981239,-2.9908462,1.0,Ground Pass,"[57.2, 9.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299.131,0.15600000000017644,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4619821030390392
970ac441-ab79-4ef9-bf68-30f3e1644433,2600,2,00:21:40.757,66,40,163,,42,Ball Receipt*,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['7451aa54-0709-4616-8c8d-ae08a0fcad9b'],"[57.2, 9.4]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.757,1.6259999999999764,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21688437018904594
4de781e3-2546-443a-9b1f-ec6f96419729,2601,2,00:21:40.757,66,40,163,2.18627,43,Carry,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['10175737-0ebd-4347-b290-b699054c8f17', '970ac441-ab79-4ef9-bf68-30f3e1644433']","[57.2, 9.4]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,"[68.8, 9.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.757,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.24249818114830113
10175737-0ebd-4347-b290-b699054c8f17,2602,2,00:21:42.943,66,42,163,0.952635,30,Pass,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['697d0abe-c4fc-4db3-bb98-2ffe37fae6e8'],"[68.8, 9.2]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,6899.0,Rubén Pardo Gutiérrez,12.831601,0.38340074,1.0,Ground Pass,"[80.7, 14.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302.943,2.185999999999922,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4206923865922325
697d0abe-c4fc-4db3-bb98-2ffe37fae6e8,2603,2,00:21:43.896,66,43,163,,42,Ball Receipt*,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['10175737-0ebd-4347-b290-b699054c8f17'],"[80.7, 14.0]",6899.0,Rubén Pardo Gutiérrez,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303.896,0.9529999999999745,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3176987194308907
8629c368-6227-4c0a-b7ce-138a12af1c49,2604,2,00:21:43.896,66,43,163,5.762986,43,Carry,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['53bcf0b7-1147-4af3-8d1a-7a4a2220d337', '697d0abe-c4fc-4db3-bb98-2ffe37fae6e8', '7b1a1abb-ae95-4103-8e48-fd9c797e15ed']","[80.7, 14.0]",6899.0,Rubén Pardo Gutiérrez,15.0,Left Center Midfield,,,,,,,,,,,,"[112.3, 19.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303.896,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7130224184565298
7b1a1abb-ae95-4103-8e48-fd9c797e15ed,2605,2,00:21:46.366,66,46,163,1.522627,17,Pressure,210,Real Sociedad,4,From Throw In,207,Valencia,,,['8629c368-6227-4c0a-b7ce-138a12af1c49'],"[27.6, 63.5]",6751.0,Javier Fuego Martínez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.366,2.4700000000000273,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7998645179759422
53bcf0b7-1147-4af3-8d1a-7a4a2220d337,2606,2,00:21:49.659,66,49,163,0.144753,30,Pass,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['043a713e-426c-488f-82af-17347a079d61'],"[112.3, 19.8]",6899.0,Rubén Pardo Gutiérrez,15.0,Left Center Midfield,,,2.2,1.5707964,1.0,Ground Pass,"[112.3, 22.0]",38.0,Left Foot,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.659,3.29300000000012,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5092657064732342
043a713e-426c-488f-82af-17347a079d61,2607,2,00:21:49.804,66,49,163,0.0,6,Block,210,Real Sociedad,4,From Throw In,207,Valencia,,,['53bcf0b7-1147-4af3-8d1a-7a4a2220d337'],"[7.8, 58.1]",6663.0,Antonio Barragán Fernández,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.804,0.1449999999999818,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6202036099796917
a5a25bf8-507a-426d-b4be-948aa8b98d24,2608,2,00:21:51.298,66,51,163,0.0,2,Ball Recovery,210,Real Sociedad,4,From Throw In,207,Valencia,,,,"[3.5, 48.4]",6898.0,Jaume Doménech Sánchez,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.298,1.4939999999999145,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17867364255039797
d52e63a9-8f6b-4ef0-b78e-47dd33154363,2609,2,00:21:51.298,66,51,163,15.780671,43,Carry,210,Real Sociedad,4,From Throw In,207,Valencia,,,"['8b968e54-bb49-4471-bcdc-4cd8b7e4b2dd', 'a5a25bf8-507a-426d-b4be-948aa8b98d24']","[3.5, 48.4]",6898.0,Jaume Doménech Sánchez,1.0,Goalkeeper,,,,,,,,,,,,"[16.8, 47.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.298,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6355193874909238
