id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_outcome_id,pass_outcome_name,interception_outcome_id,interception_outcome_name,pass_switch,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_end_location,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,off_camera,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_inswinging,pass_technique_id,pass_technique_name,clearance_left_foot,clearance_head,foul_won_defensive,dribble_overrun,ball_recovery_offensive,foul_committed_card_id,foul_committed_card_name,pass_outswinging,clearance_aerial_won,pass_no_touch,miscontrol_aerial_won,50_50_outcome_id,50_50_outcome_name,pass_miscommunication,foul_committed_advantage,foul_won_advantage,pass_through_ball,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,pass_straight,shot_one_on_one,pass_cut_back,shot_first_time,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
8c87389c-f4f9-4857-9962-4cd2eefad92c,1591,1,00:43:33.346,43,33,97,3.156589,43,Carry,222,Villarreal,8,From Keeper,222,Villarreal,,,"['370bab7a-1a25-4d46-b68a-b3c7af48e1bf', '5be161df-21e3-4f51-b4ad-ebc6b2503339']","[43.2, 71.6]",6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,,,,,,,,,,,,"[56.0, 73.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2613.346,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4141212600284706
370bab7a-1a25-4d46-b68a-b3c7af48e1bf,1592,1,00:43:36.503,43,36,97,1.308209,30,Pass,222,Villarreal,8,From Keeper,222,Villarreal,,,['0246d66b-d8ca-4b85-9797-779328c628c3'],"[56.0, 73.0]",6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,7034.0,Mateo Pablo Musacchio,17.280336,-2.5664303,1.0,Ground Pass,"[41.5, 63.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2616.503,3.157000000000153,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.44492601349856276
0246d66b-d8ca-4b85-9797-779328c628c3,1593,1,00:43:37.811,43,37,97,,42,Ball Receipt*,222,Villarreal,8,From Keeper,222,Villarreal,,,['370bab7a-1a25-4d46-b68a-b3c7af48e1bf'],"[41.5, 63.6]",7034.0,Mateo Pablo Musacchio,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2617.811,1.3079999999999927,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4359732997163629
d8bb5491-d392-487f-b4f4-0aad36086245,1594,1,00:43:37.811,43,37,97,1.985102,43,Carry,222,Villarreal,8,From Keeper,222,Villarreal,,,"['0246d66b-d8ca-4b85-9797-779328c628c3', '1f5640d0-3ad5-4200-bb16-88bcacb08ea8']","[41.5, 63.6]",7034.0,Mateo Pablo Musacchio,3.0,Right Center Back,,,,,,,,,,,,"[41.5, 63.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2617.811,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18760068211585423
1f5640d0-3ad5-4200-bb16-88bcacb08ea8,1595,1,00:43:39.796,43,39,97,1.852552,30,Pass,222,Villarreal,8,From Keeper,222,Villarreal,,,['3946fcdd-7e24-4a16-9e85-1fe580eb1ece'],"[41.5, 63.3]",7034.0,Mateo Pablo Musacchio,3.0,Right Center Back,6752.0,Víctor Ruíz Torre,37.10054,-1.5761871,1.0,Ground Pass,"[41.3, 26.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619.796,1.9849999999996726,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.11624917518572797
3946fcdd-7e24-4a16-9e85-1fe580eb1ece,1596,1,00:43:41.649,43,41,97,,42,Ball Receipt*,222,Villarreal,8,From Keeper,222,Villarreal,,,['1f5640d0-3ad5-4200-bb16-88bcacb08ea8'],"[41.3, 26.2]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621.649,1.8530000000000655,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9795276460063526
4fb71f43-0eff-414b-9e39-71a4747fc283,1597,1,00:43:41.649,43,41,97,2.043926,43,Carry,222,Villarreal,8,From Keeper,222,Villarreal,,,"['1047194d-0812-4563-9125-0321de3efb3a', '3946fcdd-7e24-4a16-9e85-1fe580eb1ece']","[41.3, 26.2]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,"[51.9, 21.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621.649,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7191950961427338
1047194d-0812-4563-9125-0321de3efb3a,1598,1,00:43:43.693,43,43,97,1.316359,30,Pass,222,Villarreal,8,From Keeper,222,Villarreal,,,['53f702f0-ccb8-49f6-b1e2-bb878049d8c1'],"[51.9, 21.1]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,6935.0,Adrián Marín Gómez,16.207714,-1.0187372,1.0,Ground Pass,"[60.4, 7.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623.693,2.044000000000324,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4945906617057848
53f702f0-ccb8-49f6-b1e2-bb878049d8c1,1599,1,00:43:45.009,43,45,97,,42,Ball Receipt*,222,Villarreal,8,From Keeper,222,Villarreal,,,['1047194d-0812-4563-9125-0321de3efb3a'],"[60.4, 7.3]",6935.0,Adrián Marín Gómez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625.009,1.3159999999998035,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.15574967792461436
c595464c-ab68-4d81-9725-04ae718f8cd6,1600,1,00:43:45.009,43,45,97,2.564492,43,Carry,222,Villarreal,8,From Keeper,222,Villarreal,,,"['53f702f0-ccb8-49f6-b1e2-bb878049d8c1', 'cfa140fd-2127-4889-8ef0-35df695e2413']","[60.4, 7.3]",6935.0,Adrián Marín Gómez,6.0,Left Back,,,,,,,,,,,,"[64.5, 11.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625.009,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8303024503309971
