id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,counterpress,dribble_overrun,ball_recovery_offensive,out,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,clearance_aerial_won,pass_cross,pass_switch,pass_aerial_won,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,clearance_left_foot,dribble_nutmeg,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,block_offensive,goalkeeper_end_location,pass_deflected,pass_assisted_shot_id,pass_goal_assist,shot_key_pass_id,foul_won_defensive,pass_miscommunication,pass_shot_assist,foul_committed_advantage,foul_won_advantage,shot_aerial_won,pass_outswinging,foul_committed_card_id,foul_committed_card_name,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,pass_no_touch,pass_inswinging,foul_committed_type_id,foul_committed_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_deflection,shot_one_on_one,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Injury Stoppage,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
25a8b6de-4a64-43c6-bd32-12352289ef1d,3181,2,00:25:56.532,70,56,149,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['75cda2e4-4dd2-48dd-8289-527bd5a0495d'],,"[14.9, 44.1]",6378.0,Jan Oblak,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556.532,2.1469999999999345,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6766372907716964
ccbe1675-6d2e-477c-883f-1e9f88b9cf75,3182,2,00:25:56.532,70,56,149,1.346699,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['25a8b6de-4a64-43c6-bd32-12352289ef1d', 'c3c047cc-87de-4c2d-bfd5-d65d254ce0a4']",,"[14.9, 44.1]",6378.0,Jan Oblak,1.0,Goalkeeper,,,,,,,,,,,,"[18.0, 41.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556.532,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7562874511503908
c3c047cc-87de-4c2d-bfd5-d65d254ce0a4,3183,2,00:25:57.879,70,57,149,2.919046,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['e94dcb54-c6da-43ba-92ef-bc47cab90f7f'],,"[18.0, 41.5]",6378.0,Jan Oblak,1.0,Goalkeeper,,,55.21232,-0.14906906,3.0,High Pass,"[72.6, 33.3]",,,40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.879,1.34699999999998,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3370404195013347
e94dcb54-c6da-43ba-92ef-bc47cab90f7f,3184,2,00:26:00.798,71,0,149,2.198322,30,Pass,212,Atlético Madrid,1,Regular Play,208,Las Palmas,,,"['53ce845e-d1e2-4eb8-b574-51d6be999f31', 'c3c047cc-87de-4c2d-bfd5-d65d254ce0a4']",,"[47.5, 46.8]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,,,24.848541,-1.380504,3.0,High Pass,"[52.2, 22.4]",64.0,Interception,37.0,Head,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560.798,2.9190000000000964,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.582791038696941
53ce845e-d1e2-4eb8-b574-51d6be999f31,3185,2,00:26:02.996,71,2,149,0.0,2,Ball Recovery,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['e94dcb54-c6da-43ba-92ef-bc47cab90f7f'],,"[67.9, 57.7]",6383.0,Thomas Teye Partey,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562.996,2.1980000000000928,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6525650393601264
5b47a53e-740e-4f72-bc55-7e836f14cd96,3186,2,00:26:02.996,71,2,149,1.935127,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['2625f458-8ed3-44da-931c-30a4b7f26e10', '402275b0-6748-4663-bb87-d06668556996', '53ce845e-d1e2-4eb8-b574-51d6be999f31']",,"[67.9, 57.7]",6383.0,Thomas Teye Partey,11.0,Left Defensive Midfield,,,,,,,,,,,,"[75.7, 63.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562.996,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6760282895382432
402275b0-6748-4663-bb87-d06668556996,3187,2,00:26:04.702,71,4,149,0.334666,17,Pressure,212,Atlético Madrid,1,Regular Play,208,Las Palmas,,,"['2625f458-8ed3-44da-931c-30a4b7f26e10', '5b47a53e-740e-4f72-bc55-7e836f14cd96']",,"[48.6, 18.5]",10755.0,Jonathan Viera Ramos,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564.702,1.7059999999999036,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5687348375616114
2625f458-8ed3-44da-931c-30a4b7f26e10,3188,2,00:26:04.931,71,4,149,2.096934,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['365428ec-5188-4586-876c-1416c4f483c3', '402275b0-6748-4663-bb87-d06668556996']",,"[75.7, 63.8]",6383.0,Thomas Teye Partey,11.0,Left Defensive Midfield,6375.0,Juan Francisco Torres Belén,15.923882,1.0874883,1.0,Ground Pass,"[83.1, 77.9]",,,40.0,Right Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564.931,0.22900000000004184,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3991392584035075
365428ec-5188-4586-876c-1416c4f483c3,3189,2,00:26:07.028,71,7,149,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['2625f458-8ed3-44da-931c-30a4b7f26e10'],,"[83.1, 77.9]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.028,2.09699999999998,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.49258688472685497
83e1bbe8-d93c-4221-88ba-969e42d24643,3190,2,00:26:07.028,71,7,149,2.223838,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['068a62af-118f-4abe-849b-14973aafcdf4', '365428ec-5188-4586-876c-1416c4f483c3']",,"[83.1, 77.9]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,"[91.5, 78.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.028,0.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.769799731185437
